Word,IPA,Syllables
employee,ˌɛmploːiˈeː,ɛm - ploː - i - eː
beschrijft,bəsxrˈɛɪft,bəsx - rɛ - ɪft
wrede,vrˈeːdə,vreː - də
onderdaan,ˈɔndərdˌaːn,ɔn - dər - daːn
nauwkeurig,nʌʊkˈøːrəx,nʌʊ - køː - rəx
beveelt,bəvˈeːlt,bə - veːlt
boos,bˈoːs,boːs
derde,dˈɛrdə,dɛr - də
getal,ɣətˈɑl,ɣə - tɑl
oplettende,ˈɔplˌɛtəndə,ɔ - plɛ - tən - də
toehoorder,tˈuhˌɔːrdər,tuh - ɔːr - dər
signaleert,sˌɪɲaːlˈɪrt,sɪɲ - aː - lɪrt
zes,zˈɛs,zɛs
mijn,mˈɛɪn,mɛ - ɪn
vriendin,vrˈindɪn,vrin - dɪn
gek,ɣˈɛk,ɣɛk
jongens,jˈɔŋəns,jɔŋ - əns
mona,mˈoːnaː,moː - naː
gemixte,ɣəmˈɪkstə,ɣə - mɪk - stə
drankjes,drˈɑŋkjəs,drɑŋk - jəs
kopen,kˈoːpən,koː - pən
aannemer,ˈaːnnˌeːmər,aːn - neː - mər
voor,vˈɔːr,vɔːr
bewoner,bəʋˈoːnər,bə - ʋoː - nər
humeur,hymˈøːr,hy - møːr
vrouwtje,vrˈʌʊtʲə,vrʌʊtʲ - ə
verlaten,vərlˈaːtən,vər - laː - tən
goed,ɣˈut,ɣut
matste,mˈɑtstə,mɑt - stə
poezen,pˈuzən,pu - zən
buren,bˈyrən,by - rən
ruzie,ryzˈi,ry - zi
opvangt,ˈɔpvɑŋt,ɔp - vɑŋt
populaire,pˌoːpylˈɛːrə,poː - py - lɛː - rə
jongeman,jˈɔŋəmˌɑn,jɔŋ - ə - mɑn
onlangs,ɔnlˈɑŋs,ɔn - lɑŋs
gaf,ɣˈɑf,ɣɑf
portier,pɔrtˈir,pɔr - tir
sterke,stˈɛrkə,stɛr - kə
feest,fˈeːst,feːst
beren,bˈɪːrən,bɪː - rən
groot,ɣrˈoːt,ɣroːt
betoverde,bətˈoːvərdə,bə - toː - vər - də
knappe,knˈɑpə,knɑ - pə
inhuurde,ˈɪnhˌyrdə,ɪnh - yr - də
elfje,ˈɛlfjə,ɛlf - jə
schilder,sxˈɪldər,sxɪl - dər
prinses,prɪnsˈɛs,prɪn - sɛs
tekent,tˈeːkənt,teː - kənt
pap,pˈɑp,pɑp
vriendelijk,vrˈindələk,vrin - də - lək
kokkin,kˈɔkɪn,kɔ - kɪn
onder,ˈɔndər,ɔn - dər
zit,zˈɪt,zɪt
dakloze,dˈɑkloːzə,dɑ - kloː - zə
verf,vˈɛrf,vɛrf
geen,ɣˈeːn,ɣeːn
burgers,bˈɵrɣərs,bɵr - ɣərs
kookt,kˈoːkt,koːkt
zin,zˈɪn,zɪn
meer,mˈɪːr,mɪːr
warme,ʋˈɑrmə,ʋɑr - mə
dekens,dˈeːkəns,deː - kəns
nora,nˈoːraː,noː - raː
arme,ˈɑrmə,ɑr - mə
mensen,mˈɛnsən,mɛn - sən
weeft,ʋˈeːft,ʋeːft
schutter,sxˈɵtər,sxɵ - tər
gelukkig,ɣəlˈɵkəx,ɣə - lɵ - kəx
gewelddadige,ɣəʋɛldˈaːdəɣə,ɣə - ʋɛl - daː - də - ɣə
doodde,dˈoːdə,doː - də
jullie,jɵlˈi,jɵ - li
directeur,dˌirɛktˈøːr,di - rɛk - tøːr
ruiter,rˈœytər,rœy - tər
al,ˈɑl,ɑl
eerder,ˈɪːrdər,ɪːr - dər
geweest,ɣəʋˈeːst,ɣə - ʋeːst
geliefde,ɣəlˈivdə,ɣə - liv - də
paarden,pˈaːrdən,paːr - dən
veroordeeld,vərˈɔːrdeːlt,və - rɔːr - deːlt
streelde,strˈeːldə,streːl - də
winnaar,ʋˈɪnaːr,ʋɪ - naːr
raadsman,rˈaːdsmɑn,raːd - smɑn
geworden,ɣəʋˈɔrdən,ɣə - ʋɔr - dən
bijstond,bˈɛɪstˌɔnt,bɛ - ɪ - stɔnt
delinquent,dˌeːlɪnkvˈɛnt,deː - lɪnk - vɛnt
radio,rˈaːdiˌoː,raː - di - oː
peuters,pˈøːtərs,pøː - tərs
opgesloten,ˈɔpɣəslˌoːtən,ɔp - ɣə - sloː - tən
ouders,ˈʌʊdərs,ʌʊ - dərs
alarmeren,ˌaːlɑrmˈɪːrən,aː - lɑr - mɪː - rən
in,ˈɪn,ɪn
dochters,dˈɔxtərs,dɔx - tərs
paniek,paːnˈik,paː - nik
bevrijden,bəvrˈɛɪdən,bə - vrɛ - ɪ - dən
huis,hˈœys,hœys
naar,nˈaːr,naːr
opgelucht,ˈɔpɣəlˌɵxt,ɔp - ɣə - lɵxt
joost,jˈoːst,joːst
kidnapper,kˈɪdnɑpər,kɪd - nɑ - pər
grijpt,ɣrˈɛɪpt,ɣrɛ - ɪpt
bange,bˈɑŋə,bɑŋ - ə
directrice,dˌirɛktrˈisə,di - rɛk - tri - sə
ontglipt,ɔntɣlˈɪpt,ɔnt - ɣlɪpt
bazin,bˈaːzɪn,baː - zɪn
bang,bˈɑŋ,bɑŋ
kraag,krˈaːx,kraːx
rent,rˈɛnt,rɛnt
diplomaat,dˌɪploːmˈaːt,dɪ - ploː - maːt
starre,stˈɑɾrə,stɑɾ - rə
boswachter,bˈɔsʋɑxtər,bɔs - ʋɑx - tər
deur,dˈøːr,døːr
nuchtere,nˈɵxtərə,nɵx - tə - rə
opzichter,ˈɔpzˌɪxtər,ɔp - zɪx - tər
onaardige,ɔnˈaːrdəɣə,ɔ - naːr - də - ɣə
man,mˈɑn,mɑn
uitbuit,ˈœytbˌœyt,œyt - bœyt
werknemer,ʋˈɛrknˌeːmər,ʋɛrk - neː - mər
strenge,strˈɛŋə,strɛŋ - ə
gehoorzaamt,ɣəhˈɔːrzaːmt,ɣəh - ɔːr - zaːmt
gespannen,ɣəspˈɑnən,ɣə - spɑ - nən
kwijt,kʋˈɛɪt,kʋɛ - ɪt
raken,rˈaːkən,raː - kən
hun,hˈɵn,hɵn
fans,fˈɑns,fɑns
baan,bˈaːn,baːn
bowlers,bˈɔʋlərs,bɔʋ - lərs
willen,ʋˈɪlən,ʋɪ - lən
winnen,ʋˈɪnən,ʋɪ - nən
ik,ˈɪk,ɪk
sporthelden,spˈɔrthˌɛldən,spɔrth - ɛl - dən
aanmoedigen,ˈaːnmˌudəɣən,aːn - mu - də - ɣən
sprak,sprˈɑk,sprɑk
scheve,sxˈeːvə,sxeː - və
nog,nˈɔx,nɔx
torens,tˈoːrəns,toː - rəns
hans,hˈɑns,hɑns
hielp,hˈilp,hilp
ontworpen,ɔntʋˈɔrpən,ɔnt - ʋɔr - pən
hulpverlener,hˈɵlpvərlˌeːnər,hɵlp - vər - leː - nər
bereden,bərˈeːdən,bə - reː - dən
zag,zˈɑx,zɑx
zwerver,zʋˈɛrvər,zʋɛr - vər
politie,poːlˈitsi,poː - lit - si
rende,rˈɛndə,rɛn - də
hij,hˈɛɪ,hɛ - ɪ
zieke,zˈikə,zi - kə
weg,ʋˈɛx,ʋɛx
heilsoldaat,hˌɛɪlsɔldˈaːt,hɛ - ɪl - sɔl - daːt
kamer,kˈaːmər,kaː - mər
huisvestte,hˈœysfɛstə,hœy - sfɛ - stə
grootvader,ɣrˈoːtvaːdər,ɣroːt - vaː - dər
binnenkwam,bˈɪnənkʋˌɑm,bɪ - nənk - ʋɑm
deugniet,døːɣnˈit,døːɣ - nit
slinkse,slˈɪŋksə,slɪŋk - sə
schrok,sxrˈɔk,sxrɔk
doorhad,dˈɔːrhɑt,dɔːrh - ɑt
zich,zˈɪx,zɪx
bedrogen,bədrˈoːɣən,bə - droː - ɣən
goedkope,ɣudkˈoːpə,ɣud - koː - pə
voelde,vˈuldə,vul - də
bordes,bɔrdˈɛs,bɔr - dɛs
achterste,ˈɑxtərstə,ɑx - tər - stə
repareerde,rˌeːpaːrˈɪrdə,reː - paː - rɪr - də
beunhaas,bøːnhˈaːs,bøːnh - aːs
judoka,jydˈoːkaː,jy - doː - kaː
dwaze,dʋˈaːzə,dʋaː - zə
houden,hˈʌʊdən,hʌʊ - dən
belager,bəlˈaːɣər,bə - laː - ɣər
niet,nˈit,nit
vloerde,vlˈurdə,vlur - də
misleidde,mɪslˈɛɪdə,mɪ - slɛ - ɪ - də
simpele,sˈɪmpələ,sɪm - pə - lə
bedrieger,bədrˈiɣər,bə - dri - ɣər
schuldig,sxˈɵldəx,sxɵl - dəx
tante,tˈɑntə,tɑn - tə
taxateur,tˌɑksaːtˈøːr,tɑk - saː - tøːr
agaat,aːɣˈaːt,aː - ɣaːt
won,ʋˈɔn,ʋɔn
wedstrijd,ʋˈɛtstrɛɪt,ʋɛt - strɛ - ɪt
pieren,pˈirən,pi - rən
gebruikt,ɣəbrˈœykt,ɣə - brœykt
haagse,hˈaːxsə,haːx - sə
bordeel,bɔrdˈeːl,bɔr - deːl
gladde,ɣlˈɑdə,ɣlɑ - də
naaktlopers,nˈaːktloːpərs,naːkt - loː - pərs
hebben,hˈɛbən,hɛ - bən
vermaken,vərmˈaːkən,vər - maː - kən
ontwerper,ɔntʋˈɛrpər,ɔnt - ʋɛr - pər
kleding,klˈeːdɪŋ,kleː - dɪŋ
koud,kˈʌʊt,kʌʊt
koningin,kˌoːnɪɣˈɪn,koː - nɪ - ɣɪn
verkoopt,vərkˈoːpt,vər - koːpt
creatief,krˌeːaːtˈif,kreː - aː - tif
etaleur,ˌeːtaːlˈøːr,eː - taː - løːr
stond,stˈɔnt,stɔnt
paspop,pˈɑspɔp,pɑ - spɔp
mee,mˈeː,meː
gang,ɣˈɑŋ,ɣɑŋ
nam,nˈɑm,nɑm
fransien,frɑnsˈin,frɑn - sin
duurste,dˈyrstə,dyr - stə
trompet,trɔmpˈɛt,trɔm - pɛt
genoeg,ɣənˈux,ɣə - nux
kapper,kˈɑpər,kɑ - pər
drukke,drˈɵkə,drɵ - kə
uitkiest,ˈœytkˌist,œyt - kist
geld,ɣˈɛlt,ɣɛlt
teamleider,tˈiːmlɛɪdər,tiːm - lɛ - ɪ - dər
ervaring,ɛrvˈaːrɪŋ,ɛr - vaː - rɪŋ
joke,jˈoːkə,joː - kə
bijknipt,bˈɛɪknˌɪpt,bɛ - ɪk - nɪpt
tamboerijn,tˌɑmburˈɛɪn,tɑm - bu - rɛ - ɪn
spaanse,spˈaːnsə,spaːn - sə
eenvoudige,eːnvˈʌʊdəɣə,eːn - vʌʊ - də - ɣə
vooraan,vˈɔːrˌaːn,vɔː - raːn
boerin,bˈurɪn,bu - rɪn
liefst,lˈifst,lifst
hield,hˈilt,hilt
speelt,spˈeːlt,speːlt
serveerster,sˈɛrvɪːrstər,sɛr - vɪːr - stər
werden,ʋˈɛrdən,ʋɛr - dən
behulpzame,bəhˈɵlpzaːmə,bəh - ɵlp - zaː - mə
winkel,ʋˈɪŋkəl,ʋɪŋ - kəl
netjes,nˈɛtʲəs,nɛtʲ - əs
hippe,hˈɪpə,hɪ - pə
brillen,brˈɪlən,brɪ - lən
behoorlijk,bəhˈoːrlək,bəh - oːr - lək
verkocht,vərkˈɔxt,vər - kɔxt
diafragma,dˌiɑfrˈɑɣmaː,di - ɑ - frɑɣ - maː
stugge,stˈɵɣə,stɵ - ɣə
buikholte,bˈœykhɔltə,bœykh - ɔl - tə
borstholte,bˈɔrstɔltə,bɔr - stɔl - tə
en,ˈɛn,ɛn
neem,nˈeːm,neːm
scheidt,sxˈɛɪt,sxɛ - ɪt
belangrijk,bəlˈɑŋrɛɪk,bə - lɑŋ - rɛ - ɪk
kleine,klˈɛɪnə,klɛ - ɪ - nə
boer,bˈur,bur
serieus,sˌɪːrijˈøːs,sɪː - ri - jøːs
biggetje,bˈɪɣɛtʲə,bɪ - ɣɛtʲ - ə
voert,vˈurt,vurt
kwade,kʋˈaːdə,kʋaː - də
richard,rˈɪxɑrt,rɪx - ɑrt
haatte,hˈaːtə,haː - tə
dieren,dˈirən,di - rən
oudere,ˈʌʊdərə,ʌʊ - də - rə
verzorgde,vərzˈɔrɣdə,vər - zɔrɣ - də
ging,ɣˈɪŋ,ɣɪŋ
zielige,zˈiləɣə,zi - lə - ɣə
hen,hˈɛn,hɛn
tandarts,tˈɑndɑrts,tɑn - dɑrts
verzamelen,vərzˈaːmələn,vər - zaː - mə - lən
heftige,hˈɛftəɣə,hɛf - tə - ɣə
bangerik,bˈɑŋɪːrˌɪk,bɑŋ - ɪː - rɪk
inschakelde,ˈɪnsxˌaːkəldə,ɪn - sxaː - kəl - də
pijn,pˈɛɪn,pɛ - ɪn
maand,mˈaːnt,maːnt
afgelopen,ˈɑfɣəlˌoːpən,ɑf - ɣə - loː - pən
buurman,bˈyrmɑn,byr - mɑn
complicaties,kˌɔmplikˈaːtsis,kɔm - pli - kaːt - sis
vele,vˈeːlə,veː - lə
paragnost,pˈaːrɑɣnˌɔst,paː - rɑɣ - nɔst
gewonde,ɣəʋˈɔndə,ɣə - ʋɔn - də
zus,zˈɵs,zɵs
psychose,psɪxˈoːsə,psɪx - oː - sə
beter,bˈeːtər,beː - tər
keek,kˈeːk,keːk
broer,brˈur,brur
grote,ɣrˈoːtə,ɣroː - tə
gebruikte,ɣəbrˈœyktə,ɣə - brœyk - tə
ervaren,ɛrvˈaːrən,ɛr - vaː - rən
takken,tˈɑkən,tɑ - kən
vuur,vˈyr,vyr
agent,aːɣˈɛnt,aː - ɣɛnt
daar,dˈaːr,daːr
toerist,tˈurˌɪst,tu - rɪst
gered,ɣərˈɛt,ɣə - rɛt
kopers,kˈoːpərs,koː - pərs
nieuwe,nˈiwə,niw - ə
liep,lˈip,lip
makelaars,mˈaːkəlˌaːrs,maː - kə - laːrs
eigenaar,ˈɛɪɣənˌaːr,ɛ - ɪ - ɣə - naːr
gehaaid,ɣəhˈaːjt,ɣəh - aːjt
gemaakt,ɣəmˈaːkt,ɣə - maːkt
gerst,ɣˈɛrst,ɣɛrst
lekker,lˈɛkər,lɛ - kər
biertje,bˈirtʲə,birtʲ - ə
eerste,ˈɪːrstə,ɪːr - stə
knipoogde,knˈipoːɣdə,kni - poːɣ - də
ontving,ɔntvˈɪŋ,ɔnt - vɪŋ
verse,vərsˈeː,vər - seː
jam,jˈɑm,jɑm
bramen,brˈaːmən,braː - mən
heerlijke,hˈɪːrləkə,hɪːr - lə - kə
maakt,mˈaːkt,maːkt
verhuizen,vərhˈœyzən,vərh - œy - zən
jonge,jˈɔŋə,jɔŋ - ə
dief,dˈif,dif
gestolen,ɣəstˈoːlən,ɣə - stoː - lən
vluchtte,vlˈɵxtə,vlɵx - tə
telefoon,tˌeːləfˈoːn,teː - lə - foːn
verkoper,vərkˈoːpər,vər - koː - pər
paspoort,pˈɑspɔːrt,pɑ - spɔːrt
verdiende,vərdˈində,vər - din - də
moderne,mˈoːdɛrnə,moː - dɛr - nə
aanprees,ˈaːnprˌeːs,aːn - preːs
orthopeed,ˌɔrtoːpˈeːt,ɔr - toː - peːt
behandelt,bəhˈɑndəlt,bəh - ɑn - dəlt
blessure,blɛsˈyrə,blɛ - sy - rə
benul,bənˈɵl,bə - nɵl
geeft,ɣˈeːft,ɣeːft
weinig,ʋˈɛɪnəx,ʋɛ - ɪ - nəx
secretaresse,sˈɛkrətˌaːrɛsə,sɛ - krə - taː - rɛ - sə
advocaat,ˌɑdvoːkˈaːt,ɑd - voː - kaːt
mannelijke,mˈɑnələkə,mɑ - nə - lə - kə
beambte,bəˈɑmbtə,bə - ɑmb - tə
wijze,ʋˈɛɪzə,ʋɛ - ɪ - zə
brief,brˈif,brif
oude,ˈʌʊdə,ʌʊ - də
dromen,drˈoːmən,droː - mən
ieders,ˈidərs,i - dərs
komt,kˈɔmt,kɔmt
aardige,ˈaːrdəɣə,aːr - də - ɣə
uitlegt,ˈœytlˌɛxt,œyt - lɛxt
docent,doːsˈɛnt,doː - sɛnt
zijden,zˈɛɪdən,zɛ - ɪ - dən
groene,ɣrˈunə,ɣru - nə
onderwijst,ˈɔndərʋˌɛɪst,ɔn - dər - ʋɛ - ɪst
pyjama,pijˈaːmaː,pi - jaː - maː
mag,mˈɑx,mɑx
kast,kˈɑst,kɑst
ligt,lˈɪxt,lɪxt
nichtje,nˈɪxtʲə,nɪxtʲ - ə
je,jˈə,jə
lenen,lˈeːnən,leː - nən
dit,dˈɪt,dɪt
mooie,mˈoːjə,moː - jə
jaloers,jaːlˈurs,jaː - lurs
alleen,ɑlˈeːn,ɑ - leːn
wilde,ʋˈɪldə,ʋɪl - də
potlood,pɔtlˈoːt,pɔt - loːt
ook,ˈoːk,oːk
echte,ˈɛxtə,ɛx - tə
pitbulls,pˈɪtbɵls,pɪt - bɵls
honden,hˈɔndən,hɔn - dən
taaie,tˈaːjə,taː - jə
mogen,mˈoːɣən,moː - ɣən
plekje,plˈɛkjə,plɛk - jə
rij,rˈɛɪ,rɛ - ɪ
