Word,IPA,FREQcount,Zipf,CELEX,Equal # of Syllables
kapitein,kaː - pi - tɛ - ɪn,6902,5.19454020025506,kA - pi - tKn,False
rijden,rɛ - ɪ - dən,6561,5.172538552916784,rK - d@,False
kwijt,kʋɛ - ɪt,6385,5.160731241070181,kwKt,False
tijdens,tɛ - ɪ - dəns,5888,5.125543881186424,tK - d@ns,False
allebei,ɑ - lə - bɛ - ɪ,5875,5.124584113984973,A - l@ - bK,False
erbij,ɛr - bɛ - ɪ,5710,5.112214487031526,Er - bK,False
eindelijk,ɛ - ɪn - də - lək,5087,5.062049429507113,Kn - d@ - l@k,False
meid,mɛ - ɪt,5008,5.05525335855627,mKt,False
begrijpen,bə - ɣrɛ - ɪ - pən,4884,5.044366894921547,b@ - GrK - p@,False
weinig,ʋɛ - ɪ - nəx,4830,5.039539364353274,wK - n@x,False
bewijs,bə - ʋɛ - ɪs,4457,5.004642391010973,b@ - wKs,False
geheim,ɣəh - ɛ - ɪm,4450,5.003959921149278,x@ - hKm,False
schrijven,sxrɛ - ɪ - vən,4225,4.981431819583049,sxrK - v@,False
lijken,lɛ - ɪ - kən,4195,4.978337806388275,lK - k@,False
reis,rɛ - ɪs,3952,4.952429141209725,rKs,False
bewijzen,bə - ʋɛ - ɪ - zən,3890,4.945563557670497,b@ - wK - z@,False
prijs,prɛ - ɪs,3787,4.93391229719799,prKs,False
eind,ɛ - ɪnt,3637,4.91636502159422,Knt,False
rijk,rɛ - ɪk,3461,4.89482939040613,rKk,False
tenzij,tɛn - zɛ - ɪ,3370,4.883261079387727,tEn - zK,False
lijk,lɛ - ɪk,3256,4.868320085431628,lKk,False
bedrijf,bə - drɛ - ɪf,3209,4.862007359271627,b@ - drKf,False
trein,trɛ - ɪn,3199,4.860652305186661,trKn,False
wedstrijd,ʋɛt - strɛ - ɪt,3171,4.85683550551232,wEt - strKt,False
lijn,lɛ - ɪn,3005,4.833491303117643,lKn,False
eikel,ɛ - ɪ - kəl,2931,4.822666292835845,K - k@l,False
lijst,lɛ - ɪst,2920,4.821033883840304,lKst,False
bereiken,bə - rɛ - ɪ - kən,2817,4.805443315640092,b@ - rK - k@,False
leiden,lɛ - ɪ - dən,2740,4.793411362406253,lK - d@,False
blijkbaar,blɛ - ɪk - baːr,2720,4.790230868646512,blKg - bar,False
sergeant,sɛr - ɣə - ɑnt,2714,4.78927216079162,sEr - ZAnt,False
vijand,vɛ - ɪ - ɑnt,2654,4.779566852284242,vK - jAnt,False
wijn,ʋɛ - ɪn,2643,4.777763777680358,wKn,False
uiteindelijk,œy - tɛ - ɪn - də - lək,2613,4.77280791011128,Lt - Kn - d@ - l@k,False
bekijken,bə - kɛ - ɪ - kən,2558,4.76357261275394,b@ - kK - k@,False
belachelijk,bə - lɑ - ʃlək,2553,4.762723219794151,b@ - lA - x@ - l@k,False
deal,deː - ɑl,2471,4.748550793283533,dil,False
weekend,(en)w - iː - kɛnd(nl),2440,4.743070106283943,wi - kEnt,False
vrijheid,vrɛ - ɪ - hɛɪt,2296,4.71666332206178,vrK - hKt,False
eiland,ɛ - ɪ - lɑnt,2256,4.709033885944517,K - lAnt,False
mijnheer,mɛ - ɪnh - ɪːr,2194,4.696936851444895,mKn - her,False
dichtbij,dɪxt - bɛ - ɪ,2167,4.691561604733104,dIGd - bK,False
bereid,bə - rɛ - ɪt,2137,4.685510027739514,b@ - rKt,False
dankzij,dɑŋk - zɛ - ɪ,2042,4.665770693499202,dANk - sK,False
beiden,bɛ - ɪ - dən,2029,4.662998364779968,bK - d@,False
leider,lɛ - ɪ - dər,2001,4.656966400010054,lK - d@r,False
leeftijd,leːf - tɛ - ɪt,1967,4.649527420962078,lef - tKt,False
ontbijt,ɔnt - bɛ - ɪt,1960,4.647979920534539,Ond - bKt,False
strijd,strɛ - ɪt,1956,4.647093152524755,strKt,False
opzij,ɔp - zɛ - ɪ,1933,4.641958796613737,Op - sK,False
veiligheid,vɛ - ɪ - ləx - hɛɪt,1922,4.639481611105234,vK - l@x - hKt,False
feit,fɛ - ɪt,1882,4.630352646883419,fKt,False
majesteit,maː - jɛ - stɛ - ɪt,1869,4.627343933403253,ma - j@s - tKt,False
leiding,lɛ - ɪ - dɪŋ,1827,4.617478518264567,lK - dIN,False
verdwijnen,vərd - ʋɛ - ɪ - nən,1801,4.611257113509799,v@r - dwK - n@,False
fijne,fɛ - ɪ - nə,1743,4.597048807463303,fK - n@,False
universiteit,y - ni - vɛr - si - tɛ - ɪt,1691,4.583902685569759,y - ni - vEr - zi - tKt,False
vrijdag,vrɛ - ɪ - dɑx,1654,4.574300324978492,vrK - dAx,False
wijs,ʋɛ - ɪs,1585,4.55580550984834,wKs,False
afscheid,ɑf - sxɛ - ɪt,1550,4.54611412468036,Af - sxKt,False
bijvoorbeeld,bɛ - ɪ - vɔːr - beːlt,1542,4.543868252929903,bK - vor - belt,False
twijfel,tʋɛ - ɪ - fəl,1488,4.528397024618931,twK - f@l,False
eigenaar,ɛ - ɪ - ɣə - naːr,1468,4.522524122657011,K - G@ - nar,False
bekijk,bə - kɛ - ɪk,1465,4.521636297171864,b@ - kKk,False
reizen,rɛ - ɪ - zən,1416,4.506872177114215,rK - z@,False
beveiliging,bə - vɛ - ɪ - li - ɣɪŋ,1403,4.502869434660541,b@ - vK - l@ - GIN,False
boerderij,bur - də - rɛ - ɪ,1293,4.467436603199436,bur - d@ - rK,False
vijftien,vɛ - ɪf - tin,1268,4.458963948961459,vKf - tin,False
grijp,ɣrɛ - ɪp,1268,4.458963948961459,xrKp,False
medelijden,meː - də - lɛ - ɪ - dən,1248,4.45206476524089,me - d@ - lK - d@,False
gescheiden,ɣə - sxɛ - ɪ - dən,1222,4.44292878390304,x@ - sxK - d@,False
schrijver,sxrɛ - ɪ - vər,1218,4.441506032485137,sxrK - v@r,False
tegelijk,tə - ɣə - lɛ - ɪk,1217,4.441149615163611,t@ - G@ - lKk,False
woestijn,ʋu - stɛ - ɪn,1213,4.439721013605993,wus - tKn,False
keizer,kɛ - ɪ - zər,1195,4.433233506519146,kK - z@r,False
terrein,tɛɾ - rɛ - ɪn,1183,4.428854029253656,tE - rKn,False
geintje,ɣɛ - ɪntʲ - ə,1178,4.427016131961844,xKn - tj@,False
vijftig,vɛ - ɪf - təx,1175,4.425909648606874,vKf - t@x,False
race,(en)ɹ - e - ɪs(nl),1151,4.416954805953948,res,False
daarbij,daːr - bɛ - ɪ,1119,4.404720349536936,dar - bK,False
scheiden,sxɛ - ɪ - dən,1106,4.399649947745477,sxK - d@,False
zwijgen,zʋɛ - ɪ - ɣən,1090,4.393327077455097,zwK - G@,False
allerlei,ɑ - lər - lɛ - ɪ,1036,4.371281083255796,A - l@r - lK,False
lijf,lɛ - ɪf,1034,4.370442676659691,lKf,False
bijbel,bɛ - ɪ - bɛl,1008,4.359393493103665,bK - b@l,False
vrijen,vrɛ - ɪ - ən,1001,4.356370048397982,vrK - j@,False
partij,pɑr - tɛ - ɪ,989,4.351137521464304,pAr - tK,False
eindigen,ɛ - ɪn - də - ɣən,980,4.347171334246703,Kn - d@ - G@,False
wijzen,ʋɛ - ɪ - zən,977,4.345841181654356,wK - z@,False
wijf,ʋɛ - ɪf,953,4.33505070157085,wKf,False
schilderij,sxɪl - də - rɛ - ɪ,941,4.329553229659632,sxIl - d@ - rK,False
bevrijden,bə - vrɛ - ɪ - dən,931,4.324918239220736,b@ - vrK - d@,False
eisen,ɛ - ɪ - zən,923,4.321174298086861,K - s@,False
snijden,snɛ - ɪ - dən,903,4.311670757342117,snK - d@,False
koninkrijk,koː - nɪŋ - krɛ - ɪk,901,4.310708864408697,ko - nINk - rKk,False
seizoen,sɛ - ɪ - zun,896,4.308294769910846,sK - zun,False
scheiding,sxɛ - ɪ - dɪŋ,833,4.276668377504493,sxK - dIN,False
konijn,koː - nɛ - ɪn,825,4.272482374187137,ko - nKn,False
zijde,zɛ - ɪ - də,822,4.270902162079024,zK - d@,False
realiteit,reː - aː - li - tɛ - ɪt,807,4.26291368764134,re - ja - li - tKt,False
tevoorschijn,tə - vɔːr - sxɛ - ɪn,797,4.257505218217484,t@ - vor - sxKn,False
opleiding,ɔ - plɛ - ɪ - dɪŋ,786,4.251477059225819,Op - lK - dIN,False
vijfde,vɛ - ɪv - də,782,4.249264088924698,vKv - d@,False
hoofdpijn,hoːvd - pɛ - ɪn,767,4.240863546898266,hoft - pKn,False
bedreiging,bə - drɛ - ɪ - ɣɪŋ,762,4.238026864821635,b@ - drK - GIN,False
tape,taː - pə,752,4.232297303067455,tep,False
bijt,bɛ - ɪt,746,4.228822928682153,bKt,False
verwijderd,vər - ʋɛ - ɪ - dərt,745,4.228241154339424,v@r - wK - d@rt,False
bedrijven,bə - drɛ - ɪ - vən,739,4.224734046597731,b@ - drK - v@,False
hierbij,hir - bɛ - ɪ,736,4.222969814725806,hir - bK,False
overeind,oː - və - rɛ - ɪnt,731,4.220013407925146,o - v@r - Knt,False
rijbewijs,rɛ - ɪ - bə - ʋɛ - ɪs,728,4.218229855184729,rK - b@ - wKs,False
grijpen,ɣrɛ - ɪ - pən,728,4.218229855184729,xrK - p@,False
brein,brɛ - ɪn,727,4.217633706179791,brKn,False
schei,sxɛ - ɪ,726,4.217036737725793,sxK,False
waarbij,ʋaːr - bɛ - ɪ,723,4.215240893063902,war - bK,False
live,li - və,716,4.211021482534555,lAjf,False
weigeren,ʋɛ - ɪ - ɣə - rən,709,4.20676067558583,wK - G@ - r@,False
ei,ɛ - ɪ,708,4.206148562049821,K,False
pijnlijk,pɛ - ɪn - lək,704,4.203691443858153,pKn - l@k,False
bereik,bə - rɛ - ɪk,703,4.203074986008867,b@ - rKk,False
kleintje,klɛ - ɪntʲ - ə,701,4.20183943899656,klKn - tj@,False
bijten,bɛ - ɪ - tən,698,4.199979502612436,bK - t@,False
identiteit,i - dɛn - ti - tɛ - ɪt,689,4.19435141760401,i - dEn - ti - tKt,False
paleis,paː - lɛ - ɪs,679,4.188011239572991,pa - lKs,False
tijdelijk,tɛ - ɪ - də - lək,677,4.186732020733817,tK - d@ - l@k,False
maaltijd,maːl - tɛ - ɪt,672,4.183517391090732,mal - tKt,False
mijl,mɛ - ɪl,670,4.182224847035746,mKl,False
cowboy,kɔʋ - boː - i,669,4.181577129567581,kM - bOj,False
geleid,ɣə - lɛ - ɪt,666,4.179628160783303,x@ - lKt,False
medicijn,meː - di - sɛ - ɪn,664,4.178323972169859,me - di - sKn,False
verspreiden,vər - sprɛ - ɪ - dən,656,4.173067696426536,v@r - sprK - d@,False
verwijderen,vər - ʋɛ - ɪ - də - rən,649,4.16841568350961,v@r - wK - d@ - r@,False
pijpen,pɛ - ɪ - pən,648,4.167747023667124,pK - p@,False
mijzelf,mɛ - ɪ - sɛlf,646,4.166406607535455,mK - zElf,False
bijeenkomst,bɛ - ɪ - eːn - kɔmst,646,4.166406607535455,bK - eN - kOmst,False
paradijs,paː - raː - dɛ - ɪs,631,4.156219405149139,pa - ra - dKs,False
pijp,pɛ - ɪp,604,4.137257701519223,pKp,False
schijn,sxɛ - ɪn,595,4.130748586606991,sxKn,False
monsieur,mɔn - si - ɵr,589,4.126354338508898,m@ - S|,False
aanwijzing,aːn - ʋɛ - ɪ - zɪŋ,588,4.125617621653856,an - wK - zIN,False
eigendom,ɛ - ɪ - ɣən - dɔm,571,4.112898355659778,K - G@ - dOm,False
voorbereiden,vɔːr - bɪː - rɛ - ɪ - dən,570,4.112138435112603,vor - b@ - rK - d@,False
maatschappij,maːt - sxɑ - pɛ - ɪ,568,4.110614593261825,mat - sxA - pK,False
prijzen,prɛ - ɪ - zən,566,4.109085385759661,prK - z@,False
drijven,drɛ - ɪ - vən,555,4.100577118448812,drK - v@,False
huwelijksreis,hyw - ə - ləks - rɛ - ɪs,535,4.084667116559524,hy - w@ - l@ks - rKs,False
heilig,hɛ - ɪ - ləx,534,4.083856108887983,hK - l@x,False
eis,ɛ - ɪs,528,4.078957998901941,Ks,False
bijeen,bɛ - ɪ - eːn,519,4.071505670501554,bK - en,False
krijt,krɛ - ɪt,517,4.069832086611988,krKt,False
verblijf,vər - blɛ - ɪf,516,4.068992869960697,v@r - blKf,False
uitkijken,œyt - kɛ - ɪ - kən,513,4.066465445862031,Lt - kK - k@,False
gezeik,ɣə - zɛ - ɪk,512,4.065619691978571,x@ - zKk,False
tijger,tɛ - ɪ - ɣər,511,4.064772287842585,tK - G@r,False
verschijnen,vər - sxɛ - ɪ - nən,509,4.063072502964691,v@r - sxK - n@,False
ongetwijfeld,ɔn - ɣət - ʋɛ - ɪ - fəlt,507,4.061366039150673,ON - G@ - twK - f@lt,False
misdrijf,mɪz - drɛ - ɪf,499,4.054472331202773,mIz - drKf,False
bewustzijn,bə - ʋɵst - zɛ - ɪn,495,4.050984003356952,b@ - w}st - sKn,False
wijsheid,ʋɛ - ɪ - shɛɪt,485,4.042138596129048,wKs - hKt,False
vermijden,vər - mɛ - ɪ - dən,484,4.041244065469018,v@r - mK - d@,False
verspreid,vər - sprɛ - ɪt,480,4.037647403240586,v@r - sprKt,False
vallei,vɑ - lɛ - ɪ,480,4.037647403240586,vA - lK,False
elektriciteit,eː - lɛk - tri - si - tɛ - ɪt,480,4.037647403240586,e - lEk - tri - si - tKt,False
coke,koː - kə,480,4.037647403240586,kok,False
nakijken,naː - kɛ - ɪ - kən,479,4.036743564242341,na - kK - k@,False
mei,mɛ - ɪ,477,4.034930223478874,mK,False
tijdstip,tɛ - ɪt - stɪp,472,4.030363467604566,tKt - stIp,False
tapijt,taː - pɛ - ɪt,471,4.029444325500842,ta - pKt,False
ontbijten,ɔnt - bɛ - ɪ - tən,469,4.027600184802472,Ond - bK - t@,False
spijtig,spɛ - ɪ - təx,467,4.025748179940878,spK - t@x,False
stoned,stoː - nɛt,459,4.018260158548329,stont,False
vergelijken,vər - ɣə - lɛ - ɪ - kən,450,4.009678868744715,v@r - G@ - lK - k@,False
proficiat,proː - fi - ʃɑt,446,4.005809849998691,pro - fi - si - jAt,False
tegelijkertijd,tə - ɣə - lɛ - ɪ - kər - tɛ - ɪt,442,4.001906053089824,t@ - G@ - lK - k@r - tKt,False
vrijgezel,vrɛ - ɪ - ɣə - zɛl,441,4.000924596215847,vrK - G@ - zEl,False
ongelijk,ɔn - ɣə - lɛ - ɪk,441,4.000924596215847,ON - G@ - lKk,False
ongelijk,ɔn - ɣə - lɛ - ɪk,441,4.000924596215847,ON - G@ - lKk,False
beleid,bə - lɛ - ɪt,437,3.996976437370854,b@ - lKt,False
rijkdom,rɛ - ɪɡ - dɔm,436,3.995983763837176,rKg - dOm,False
kleinzoon,klɛ - ɪn - zoːn,435,3.994988816135341,klKn - zon,False
cake,kaː - kə,431,3.990986073681666,kek,False
mille,mɪ - lə,430,3.989979597027486,mil,False
kwaliteit,kʋaː - li - tɛ - ɪt,426,3.985930201891779,kwa - li - tKt,False
twijfelen,tʋɛ - ɪ - fə - lən,425,3.984911925969473,twK - f@ - l@,False
publiciteit,pɵ - bli - si - tɛ - ɪt,425,3.984911925969473,py - bli - si - tKt,False
tijdschrift,tɛ - ɪdsx - rɪft,423,3.982868183459487,tKt - sxrIft,False
bescheiden,bə - sxɛ - ɪ - dən,422,3.981842694241797,b@ - sxK - d@,False
nabij,na - bɛ - ɪ,421,3.980814777828428,na - bK,False
afblijven,ɑf - blɛ - ɪ - vən,421,3.980814777828428,Av - blK - v@,False
wijk,ʋɛ - ɪk,419,3.978751617264655,wKk,False
vrijwillig,vrɛ - ɪ - ʋɪ - ləx,415,3.974595657493497,vrK - wI - l@x,False
zeilen,zɛ - ɪ - lən,409,3.96828618358649,zK - l@,False
vrijuit,vrɛ - ɪ - œyt,406,3.965096736091974,vrK - Lt,False
freak,freː - ɑk,406,3.965096736091974,frik,False
beschrijven,bəsx - rɛ - ɪ - vən,406,3.965096736091974,b@ - sxrK - v@,False
bijl,bɛ - ɪl,405,3.964028360443949,bKl,False
loyaliteit,loː - i - aː - li - tɛ - ɪt,403,3.96188369197736,lo - ja - li - tKt,False
eindje,ɛ - ɪnt - jə,403,3.96188369197736,Knt - j@,False
rijst,rɛ - ɪst,401,3.959728379951225,rKst,False
sydney,sɪd - nə - i,396,3.95429283362987,sId - ni,False
lijnen,lɛ - ɪ - nən,394,3.952099422493215,lK - n@,False
verleiden,vər - lɛ - ɪ - dən,391,3.948788393887212,v@r - lK - d@,False
visioen,vi - ʒun,383,3.939833551234285,vi - zi - jun,False
stijgen,stɛ - ɪ - ɣən,381,3.937565689778463,stK - G@,False
schietpartij,sxit - pɑr - tɛ - ɪ,381,3.937565689778463,sxit - pAr - tK,False
mijnen,mɛ - ɪ - nən,381,3.937565689778463,mK - n@,False
ijskoud,ɛ - ɪ - skʌʊt,381,3.937565689778463,Ks - kMt,False
tijdperk,tɛ - ɪd - pɛrk,379,3.935285923483565,tKt - pErk,False
schijnen,sxɛ - ɪ - nən,379,3.935285923483565,sxK - n@,False
keihard,kɛ - ɪh - ɑrt,379,3.935285923483565,kK - hArt,False
zeik,zɛ - ɪk,378,3.934141536834827,zKk,False
kwijtraken,kʋɛ - ɪ - traː - kən,377,3.93299412670398,kwKt - ra - k@,False
bestrijden,bə - strɛ - ɪ - dən,376,3.931843677072548,b@ - strK - d@,False
grijs,ɣrɛ - ɪs,373,3.928373929067235,xrKs,False
kijkje,kɛ - ɪk - jə,372,3.927211158675442,kKk - j@,False
schijt,sxɛ - ɪt,370,3.924876236481801,sxKt,False
dealer,deː - aː - lər,368,3.922528693025815,di - l@r,False
bereiden,bə - rɛ - ɪ - dən,365,3.918983412261165,b@ - rK - d@,False
bijnaam,bɛ - ɪ - naːm,358,3.910596775445074,bK - nam,False
rijtje,rɛ - ɪtʲ - ə,357,3.909385353510629,rK - tj@,False
afleiding,ɑ - flɛ - ɪ - dɪŋ,355,3.90695232483963,Af - lK - dIN,False
rijp,rɛ - ɪp,354,3.905730679921849,rKp,False
krijger,krɛ - ɪ - ɣər,354,3.905730679921849,krK - G@r,False
geit,ɣɛ - ɪt,353,3.904505588892542,xKt,False
afgeleid,ɑf - ɣə - lɛ - ɪt,349,3.89957037121703,Af - x@ - lKt,False
stijf,stɛ - ɪf,348,3.898327753825934,stKf,False
gedeisd,ɣə - dɛ - ɪst,348,3.898327753825934,x@ - dKst,False
dozijn,doː - zɛ - ɪn,346,3.895831801657629,do - zKn,False
zwijn,zʋɛ - ɪn,340,3.888256705859252,zwKn,False
praktijk,prɑk - tɛ - ɪk,340,3.888256705859252,prAk - tKk,False
religieuze,reː - li - ɣi - jøː - zə,337,3.884419027144409,re - li - Gj| - z@,False
patrouille,pɑ - trʌʊ - ɪ - lə,334,3.8805471339036,pA - tru - j@,False
prioriteit,pri - oː - ri - tɛ - ɪt,333,3.879248793678319,pri - jo - ri - tKt,False
opschrijven,ɔpsx - rɛ - ɪ - vən,333,3.879248793678319,Op - sxrK - v@,False
verleiding,vər - lɛ - ɪ - dɪŋ,330,3.875330320642473,v@r - lK - dIN,False
toekijken,tu - kɛ - ɪ - kən,330,3.875330320642473,tu - kK - k@,False
bedtijd,bə - tɛ - ɪt,329,3.874016266744642,bE - tKt,False
strijden,strɛ - ɪ - dən,326,3.870050079527041,strK - d@,False
afleiden,ɑ - flɛ - ɪ - dən,326,3.870050079527041,Af - lK - d@,False
ijsje,ɛ - ɪs - jə,325,3.868719926934693,Ks - j@,False
quitte,kvɪ - tə,324,3.867385687845629,kit,False
begeleiden,bə - ɣə - lɛ - ɪ - dən,323,3.866047337073367,b@ - G@ - lK - d@,False
analyse,aː - naː - li - ɪ - sə,322,3.864704849197858,a - na - l! - z@,False
overlijden,oː - vər - lɛ - ɪ - dən,318,3.859293009923936,o - v@r - lK - d@,False
onderwijs,ɔn - dər - ʋɛ - ɪs,318,3.859293009923936,On - d@r - wKs,False
magazijn,maː - ɣaː - zɛ - ɪn,318,3.859293009923936,mA - Ga - zKn,False
kleintjes,klɛ - ɪntʲ - əs,316,3.856561589084506,klKn - tj@s,False
verdwijning,vərd - ʋɛ - ɪ - nɪŋ,314,3.853812880656355,v@r - dwK - nIN,False
vrijdagavond,vrɛ - ɪ - daː - ɣaː - vɔnt,311,3.849656920885197,vrK - dAG - a - vOnt,False
ijzer,ɛ - ɪ - zər,311,3.849656920885197,K - z@r,False
beschrijving,bəsx - rɛ - ɪ - vɪŋ,309,3.846864020701027,b@ - sxrK - vIN,False
rondleiding,rɔnd - lɛ - ɪ - dɪŋ,306,3.842640702343941,rOnd - lK - dIN,False
onderscheiden,ɔn - dər - sxɛ - ɪ - dən,304,3.83980216621354,On - d@r - sxK - d@,False
love,loː - və,304,3.83980216621354,l}f,False
toewijding,tu - ʋɛ - ɪ - dɪŋ,303,3.838375910475508,tu - wK - dIN,False
zeil,zɛ - ɪl,302,3.836944955369059,zKl,False
rondkijken,rɔnd - kɛ - ɪ - kən,301,3.835509269823905,rOnt - kK - k@,False
gijzelaar,ɣɛ - ɪ - zə - laːr,301,3.835509269823905,xK - z@ - lar,False
vrijlating,vrɛ - ɪ - laː - tɪŋ,296,3.828258776183967,vrK - la - tIN,False
boy,boː - i,296,3.828258776183967,bOj,False
batterij,bɑ - tə - rɛ - ɪ,295,3.826794037925693,bA - t@ - rK,False
schijten,sxɛ - ɪ - tən,294,3.825324342844918,sxK - t@,False
aankijken,aːn - kɛ - ɪ - kən,294,3.825324342844918,aN - kK - k@,False
meerijden,meː - rɛ - ɪ - dən,293,3.823849657278912,me - rK - d@,False
business,by - zi - nəss,292,3.822369947220864,bIs - nIs,False
overdrijven,oː - vər - drɛ - ɪ - vən,291,3.820885178315173,o - v@r - drK - v@,False
overdrijven,oː - vər - drɛ - ɪ - vən,291,3.820885178315173,o - v@r - drK - v@,False
onbelangrijk,ɔn - bə - lɑŋ - rɛ - ɪk,291,3.820885178315173,Om - b@ - lAN - rKk,False
database,daː - taː - baː - sə,291,3.820885178315173,da - ta - bes,False
specialiteit,speː - ʃaː - li - tɛ - ɪt,290,3.819395315852662,spe - Sa - li - tKt,False
doorrijden,dɔːɾ - rɛ - ɪ - dən,289,3.817900324765711,do - rK - d@,False
doorrijden,dɔːɾ - rɛ - ɪ - dən,289,3.817900324765711,do - rK - d@,False
uitkijk,œyt - kɛ - ɪk,288,3.816400169623302,Lt - kKk,False
lijkschouwer,lɛ - ɪk - sxʌʊ - ər,288,3.816400169623302,lKk - sxM - w@r,False
opstijgen,ɔp - stɛ - ɪ - ɣən,287,3.814894814625986,Op - stK - G@,False
joint,joː - ɪnt,285,3.811868359995798,_Ojnt,False
destijds,dɛ - stɛ - ɪts,285,3.811868359995798,dEs - tKts,False
crash,(en)kɹ - aʃ(nl),283,3.808820666913793,krES,False
bedreigen,bə - drɛ - ɪ - ɣən,283,3.808820666913793,b@ - drK - G@,False
blijken,blɛ - ɪ - kən,282,3.807288762391045,blK - k@,False
treinen,trɛ - ɪ - nən,277,3.799547122784831,trK - n@,False
misleiden,mɪ - slɛ - ɪ - dən,277,3.799547122784831,mIs - lK - d@,False
vrijlaten,vrɛ - ɪ - laː - tən,276,3.797982095931203,vrK - la - t@,False
termijn,tɛr - mɛ - ɪn,275,3.796411408931972,tEr - mKn,False
slavernij,slaː - vər - nɛ - ɪ,275,3.796411408931972,sla - v@r - nK,False
kleingeld,klɛ - ɪŋ - əlt,274,3.794835020697017,klKN - GElt,False
badge,bɑd - ɣə,271,3.790071230900953,bEtS,False
vrijwel,vrɛ - ɪ - ʋɛl,270,3.78847161774116,vrK - wEl,False
tijdverspilling,tɛ - ɪd - vər - spɪ - lɪŋ,269,3.786866091025742,tKt - f@r - spI - lIN,False
lijfwacht,lɛ - ɪf - ʋɑxt,269,3.786866091025742,lKf - wAxt,False
barbecue,bɑr - bə - ky - ə,269,3.786866091025742,bAr - b@ - kjuw,False
knijpen,knɛ - ɪ - pən,267,3.783637120895543,knK - p@,False
gastvrijheid,ɣɑst - vrɛ - ɪ - hɛɪt,263,3.777106253736586,xAst - frK - hKt,False
toegewijd,tu - ɣə - ʋɛ - ɪt,262,3.775458075356513,tu - G@ - wKt,False
ontwijken,ɔnt - ʋɛ - ɪ - kən,261,3.7738036181865,Ont - wK - k@,False
gevleid,ɣə - vlɛ - ɪt,261,3.7738036181865,x@ - vlKt,False
krijgsraad,krɛ - ɪxs - raːt,260,3.772142834205035,krKxs - rat,False
bijzijn,bɛ - ɪ - zɛ - ɪn,256,3.765435450198049,bK - zKn,False
activiteit,ɑk - ti - vi - tɛ - ɪt,256,3.765435450198049,Ak - ti - vi - tKt,False
zijkant,zɛ - ɪ - kɑnt,255,3.763742292178604,zK - kAnt,False
welzijn,ʋɛl - zɛ - ɪn,255,3.763742292178604,wEl - zKn,False
dreiging,drɛ - ɪ - ɣɪŋ,254,3.76204250730071,drK - GIN,False
vrijwilliger,vrɛ - ɪ - ʋɪ - lə - ɣər,250,3.755176048347793,vrK - wI - l@ - G@r,False
heil,hɛ - ɪl,250,3.755176048347793,hKl,False
loterij,loː - tə - rɛ - ɪ,249,3.753442335538792,lo - t@ - rK,False
keizerin,kɛ - ɪ - zɪː - rɪn,249,3.753442335538792,kK - z@ - rIn,False
verwijten,vər - ʋɛ - ɪ - tən,247,3.749954007692971,v@r - wK - t@,False
verblijven,vər - blɛ - ɪ - vən,243,3.742892153205484,v@r - blK - v@,False
plein,plɛ - ɪn,240,3.737519369441623,plKn,False
eitje,ɛ - ɪtʲ - ə,238,3.733900227814893,K - tj@,False
clean,kleː - ɑn,238,3.733900227814893,klin,False
uitgebreid,œyt - ɣə - brɛ - ɪt,237,3.732079283923267,Lt - x@ - brKt,False
