Word,IPA,FREQcount,Zipf,CELEX
gewoon,ɣə - ʋoːn,44079,5.999743912710484,x@ - won
twee,tʋeː,44058,5.999536962681721,twe
net,nɛt,43964,5.998609404360872,nEt
dood,doːt,43386,5.992861948683252,dot
altijd,ɑl - tɛ - ɪt,42787,5.986824313998892,Al - tKt
weten,ʋeː - tən,42735,5.986296197544052,we - t@
maken,maː - kən,41861,5.977322300229542,ma - k@
tijd,tɛ - ɪt,39289,5.949784355678561,tKt
gedaan,ɣə - daːn,38615,5.94226961267739,x@ - dan
af,ɑf,38143,5.936928560590879,Af
omdat,ɔm - dɑt,38018,5.935503016455796,Om - dAt
geef,ɣeːf,37989,5.935171620421475,xef
zeker,zeː - kər,37384,5.928199711849453,ze - k@r
dag,dɑx,37107,5.92496987479219,dAx
wacht,ʋɑxt,36483,5.917604773921559,wAxt
niks,nɪks,36366,5.916209803418217,nIks
vrouw,vrʌʊ,35931,5.910983717875752,vrMw
huis,hœys,35810,5.909518775452468,hLs
allemaal,ɑ - lə - maːl,35651,5.907586224718044,A - l@ - mal
allemaal,ɑ - lə - maːl,35651,5.907586224718044,A - l@ - mal
vader,vaː - dər,34792,5.896994203940702,va - d@r
geld,ɣɛlt,34704,5.895894375605133,xElt
anders,ɑn - dərs,33784,5.884226250127748,An - d@rs
dank,dɑŋk,33515,5.880754508615384,dANk
jaar,jaːr,33351,5.878624208984995,jar
hun,hɵn,33098,5.87531719976506,h}n
zij,zɛ - ɪ,33038,5.874529220810066,zK
willen,ʋɪ - lən,32984,5.873818815283226,wI - l@
erg,ɛrx,32762,5.870885988691201,Erx
zitten,zɪ - tən,32519,5.867652863788785,zI - t@
keer,kɪːr,32231,5.863789581247076,ker
jouw,jʌʊ,32063,5.861520026717887,jMw
zoals,zoː - ɑls,32005,5.860733727768888,zo - wAls
wilde,ʋɪl - də,31558,5.854625560270978,wIl - d@
niemand,ni - mɑnt,31179,5.849378437719578,ni - mAnt
iedereen,i - dɪː - reːn,30554,5.8405846149226,i - d@r - en
zich,zɪx,30245,5.836170274688548,zIx
gezien,ɣə - zin,30243,5.836141556256936,x@ - zin
beter,beː - tər,30199,5.835509269823905,be - t@r
werk,ʋɛrk,29746,5.828945500321517,wErk
binnen,bɪ - nən,29618,5.827072718600453,bI - n@
spijt,spɛ - ɪt,29114,5.819619121310799,spKt
vast,vɑst,28950,5.81716589620763,vAst
staat,staːt,28550,5.811123650897876,stat
moeder,mu - dər,28533,5.81086498377304,mu - d@r
zullen,zɵ - lən,28445,5.809523532569354,z} - l@
waren,ʋaː - rən,28367,5.808331045123597,wa - r@
maak,maːk,28345,5.807994109655067,mak
praten,praː - tən,28086,5.804007681126205,pra - t@
mooi,moːj,26940,5.785916038759352,moj
genoeg,ɣə - nux,26311,5.775656187341353,x@ - nux
vinden,vɪn - dən,26191,5.77367098893462,vIn - d@
lang,lɑŋ,26100,5.772159473521599,lAN
leuk,løːk,26044,5.771226688635471,l|k
na,naː,25951,5.769673159397817,na
graag,ɣraːx,25526,5.7625021052432,xrax
toe,tu,25381,5.760028166640501,tu
helpen,hɛl - pən,25341,5.759343213447651,hEl - p@
elkaar,ɛl - kaːr,25279,5.758279396477102,El - kar
blijf,blɛ - ɪf,24627,5.746931471786199,blKf
natuurlijk,naː - tyr - lək,24565,5.745836774378606,na - tyr - l@k
klaar,klaːr,24326,5.741590882004805,klar
hallo,hɑ - loː,24265,5.740500520129151,hA - lo
sorry,sɔɾ - ri,24108,5.737681523827009,sO - ri
helemaal,heː - lə - maːl,23956,5.734934759740177,he - l@ - mal
gek,ɣɛk,23733,5.730873264895813,xEk
alle,ɑ - lə,23553,5.727566997584887,A - l@
luister,lœy - stər,23417,5.725052128531647,lLs - t@r
drie,dri,23036,5.717928249175385,dri
meneer,meː - nɪr,22671,5.710992159770139,m@ - ner
blijven,blɛ - ɪ - vən,22633,5.710263638418343,blK - v@
zonder,zɔn - dər,22571,5.709072368464758,zOn - d@r
hoor,hoːr,22409,5.705944183401815,hor
dingen,dɪŋ - ən,22336,5.704527171074522,dI - N@
houden,hʌʊ - dən,21985,5.697648550500221,hM - d@
alsjeblieft,ɑl - ʃɛ - blift,21879,5.695549644528148,Als - j@ - blift
krijgen,krɛ - ɪ - ɣən,21729,5.692562053187279,krK - G@
kijken,kɛ - ɪ - kən,21656,5.691100623399757,kK - k@
vriend,vrint,21490,5.687758951030959,vrint
idee,i - deː,21121,5.680237365152774,i - de
bang,bɑŋ,20868,5.675003965923249,bAN
steeds,steːts,20848,5.674587556205453,stets
geven,ɣeː - vən,20798,5.673544781785189,xe - v@
kinderen,kɪn - də - rən,20749,5.672520427914867,kIn - d@ - r@
achter,ɑx - tər,20719,5.67189207793995,Ax - t@r
eerste,ɪːr - stə,20618,5.669769925495477,er - st@
naam,naːm,20579,5.668947697293168,nam
vertellen,vər - tɛ - lən,20419,5.665558064617646,v@r - tE - l@
ooit,oːjt,20345,5.663981367028485,ojt
snel,snɛl,20273,5.662441769025294,snEl
onder,ɔn - dər,20257,5.66209889366403,On - d@r
wanneer,ʋɑ - nɪr,20064,5.657941490936612,wA - ner
auto,ʌʊ - toː,20028,5.657161593418276,M - to
beetje,beːtʲ - ə,19781,5.651772524393551,bet - j@
eten,eː - tən,19500,5.64555920917012,e - t@
vragen,vraː - ɣən,19270,5.640406578274342,vra - G@
zelf,zɛlf,19130,5.637239998573673,zElf
vraag,vraːx,19096,5.636467474963847,vrax
jongen,jɔŋ - ən,19053,5.635488487748328,jO - N@
paar,paːr,18998,5.634233069613735,par
morgen,mɔr - ɣən,18524,5.62326054351812,mOr - G@
staan,staːn,18443,5.621357440414124,stan
zorgen,zɔr - ɣən,18389,5.620084056104832,zOr - G@
gezegd,ɣə - zɛxt,17678,5.602960022681566,x@ - zExt
thuis,tœys,17469,5.597795231849686,tLs
heen,heːn,17321,5.594100361131119,hen
geloof,ɣə - loːf,17282,5.593121456812943,x@ - lof
geweldig,ɣə - ʋɛl - dəx,17269,5.592794664434214,x@ - wEl - d@x
wereld,ʋɪː - rəlt,17230,5.591812809299086,we - r@lt
nemen,neː - mən,17111,5.588803098430226,ne - m@
zelfs,zɛlfs,16930,5.584184936579719,zElfs
meisje,mɛ - ɪs - jə,16737,5.579205890389289,mKs - j@
mannen,mɑ - nən,16630,5.576420690423307,mA - n@
denken,dɛŋ - kən,16483,5.572564932719305,dEN - k@
krijg,krɛ - ɪx,16367,5.56949794323484,krKx
vandaag,vɑn - daːx,16163,5.564051168637365,vAn - dax
hoop,hoːp,16085,5.561950391233278,hop
halen,haː - lən,16075,5.561680324386751,ha - l@
buiten,bœy - tən,15899,5.556899451187206,bL - t@
eigen,ɛ - ɪ - ɣən,15566,5.547707252281344,K - G@
rustig,rɵ - stəx,15503,5.545946086573444,r}s - t@x
horen,hoː - rən,15405,5.543192220391939,ho - r@
soms,sɔms,15299,5.540193757684353,sOms
uur,yr,15248,5.53874369128912,yr
politie,poː - lit - si,15138,5.535599515846849,po - li - tsi
probleem,prɔ - bleːm,14946,5.530056361387585,pro - blem
zat,zɑt,14867,5.527754879290443,zAt
heet,heːt,14803,5.525881403289828,het
open,oː - pən,14765,5.5247651909532,o - p@
bijna,bɛ - ɪ - naː,14607,5.520093087056978,bK - na
kind,kɪnt,14575,5.519140686495678,kInt
gelijk,ɣə - lɛ - ɪk,14427,5.514708460513081,x@ - lKk
geleden,ɣə - leː - dən,14404,5.514015589483186,x@ - le - d@
hen,hɛn,14386,5.513472570471468,hEn
pas,pɑs,14247,5.509256233321942,pAs
precies,preː - sis,14186,5.507392895601843,pr@ - sis
wachten,ʋɑx - tən,14176,5.507086666226652,wAx - t@
verder,vɛr - dər,14158,5.506534908623197,vEr - d@r
vanavond,vɑ - naː - vɔnt,13938,5.499733944957301,vAn - a - vOnt
alsof,ɑl - sɔf,13755,5.49399449401673,Als - Of
pak,pɑk,13696,5.492127782627686,pAk
kant,kɑnt,13673,5.491397902430774,kAnt
eigenlijk,ɛ - ɪ - ɣən - lək,13639,5.490316697187215,K - G@ - l@k
bel,bɛl,13629,5.489998182701428,bEl
volgens,vɔl - ɣəns,13478,5.485160000179443,vOl - G@ns
werken,ʋɛr - kən,13417,5.483190114406606,wEr - k@
best,bɛst,13404,5.482769145185653,bEst
daarom,daː - rɔm,13329,5.480332476280614,dar - Om
familie,faː - mi - li,13299,5.47935396783384,fa - mi - li
haal,haːl,13219,5.476733782016376,hal
stop,stɔp,13205,5.476273619803746,stOp
vroeg,vrux,13071,5.471844366055095,vrux
dagen,daː - ɣən,12688,5.458929724249522,da - G@
eruit,ɛ - rœyt,12608,5.456182971591854,Er - Lt
hoeveel,hu - veːl,12381,5.448293126543641,hu - vel
ding,dɪŋ,12342,5.446923055858806,dIN
vijf,vɛ - ɪf,12313,5.445901476122217,vKf
spreken,spreː - kən,12304,5.445583944905576,spre - k@
help,hɛlp,12242,5.443390176359689,hElp
gemaakt,ɣə - maːkt,12145,5.439935603653299,x@ - makt
prima,pri - maː,12104,5.438467120644506,pri - ma
lekker,lɛ - kər,12076,5.437461393167233,lE - k@r
kamer,kaː - mər,12036,5.436020587393872,ka - m@r
hoofd,hoːft,11984,5.434140365236427,hoft
oude,ʌʊ - də,11953,5.433015578364417,M - d@
zoeken,zu - kən,11948,5.432833887995745,zu - k@
stad,stɑt,11921,5.431851444360213,stAt
vond,vɔnt,11801,5.427457937169735,vOnt
geloven,ɣə - loː - vən,11776,5.426537001920906,x@ - lo - v@
kleine,klɛ - ɪ - nə,11749,5.425540193474509,klK - n@
slecht,slɛxt,11711,5.424133390581071,slExt
pijn,pɛ - ɪn,11639,5.421455307180624,pKn
jezelf,jə - sɛlf,11615,5.420558930222773,j@ - zElf
kans,kɑns,11561,5.418535291905851,kAns
schat,sxɑt,11546,5.417971492681009,sxAt
ogen,oː - ɣən,11407,5.412711839374545,o - G@
manier,maː - nir,11256,5.406924992955789,ma - nir
ergens,ɛr - ɣəns,11245,5.406500406040139,Er - G@ns
moment,moː - mɛnt,11106,5.401099098734333,mo - mEnt
tussen,tɵ - sən,10930,5.394162221169251,t} - s@
brengen,brɛŋ - ən,10922,5.39384426052036,brE - N@
spelen,speː - lən,10835,5.390371323227885,spe - l@
deur,døːr,10822,5.389849985313603,d|r
school,sxoːl,10799,5.388926082353704,sxol
broer,brur,10741,5.386587474906236,brur
boven,boː - vən,10703,5.385048427290503,bo - v@
water,ʋaː - tər,10692,5.384601893690297,wa - t@r
dokter,dɔk - tər,10673,5.383829525334323,dOk - t@r
land,lɑnt,10670,5.383707446772197,lAnt
vier,vir,10586,5.380275239946386,vir
praat,praːt,10575,5.37982376900832,prat
bed,bɛt,10492,5.376401999729291,bEt
hulp,hɵlp,10485,5.376112180244458,h}lp
zaak,zaːk,10466,5.375324551034527,zak
groot,ɣroːt,10386,5.371992458487583,xrot
juist,jœyst,10354,5.370652430096226,jLst
week,ʋeːk,10303,5.368508176882491,wek
dollar,dɔ - lɑr,10288,5.367875494089244,dO - lAr
sta,staː,10287,5.367833282446901,sta
zoveel,zoː - veːl,10275,5.367326422461064,zo - vel
wees,ʋeːs,10219,5.364953222665449,wes
vrij,vrɛ - ɪ,10185,5.363505998706914,vrK
later,laː - tər,10085,5.359221290689869,la - t@r
vergeten,vər - ɣeː - tən,10077,5.358876680886505,v@r - Ge - t@
vooruit,vɔː - rœyt,10039,5.357236039675755,vor - Lt
kop,kɔp,10024,5.356586708158975,kOp
bellen,bɛ - lən,10004,5.355719419838985,bE - l@
proberen,proː - bɪː - rən,9819,5.347613814653704,pro - be - r@
papa,paː - paː,9764,5.345174574490628,pA - pa
soort,sɔːrt,9709,5.342721556774759,sort
lopen,loː - pən,9689,5.34182610391752,lo - p@
snap,snɑp,9622,5.33881281266087,snAp
mis,mɪs,9607,5.338135321261604,mIs
zult,zɵlt,9591,5.337411496957547,z}lt
dochter,dɔx - tər,9590,5.337366217858105,dOx - t@r
zorg,zɔrx,9569,5.336414264643598,zOrx
meteen,mɛ - teːn,9553,5.33568756381409,m@ - ten
ervan,ɛr - vɑn,9522,5.334276111196877,Er - vAn
beginnen,bə - ɣɪ - nən,9484,5.332539662091436,b@ - GI - n@
gebruiken,ɣə - brœy - kən,9444,5.330704289124607,x@ - brL - k@
stel,stɛl,9399,5.328630180466453,stEl
handen,hɑn - dən,9393,5.328352882713984,hAn - d@
mevrouw,mɛ - vrʌʊ,9386,5.328029144732611,m@ - vrMw
plaats,plaːts,9331,5.32547705698847,plats
leren,lɪː - rən,9237,5.321080284777283,le - r@
klootzak,kloːt - zɑk,9180,5.318392314258546,klot - sAk
alstublieft,ɑl - stɵ - blift,9163,5.317587407384115,Als - ty - blift
slapen,slaː - pən,9149,5.316923420933203,sla - p@
liefde,liv - də,9135,5.316258417768527,liv - d@
vol,vɔl,9061,5.312726384709922,vOl
moeilijk,muj - lək,9061,5.312726384709922,muj - l@k
tien,tin,9052,5.312294847237249,tin
mama,maː - maː,9028,5.311141979890007,mA - ma
voorbij,vɔːr - bɛ - ɪ,9006,5.310082489610512,vor - bK
gelukkig,ɣə - lɵ - kəx,8961,5.307907266443779,x@ - l} - k@x
nacht,nɑxt,8940,5.306888421747047,nAxt
verhaal,vərh - aːl,8876,5.30376854674705,v@r - hal
nummer,nɵ - mər,8864,5.303181066803692,n} - m@r
zodat,zoː - dɑt,8812,5.300626096988874,zo - dAt
wakker,ʋɑ - kər,8806,5.300330323209971,wA - k@r
mogen,moː - ɣən,8782,5.299145209618883,mo - G@
hand,hɑnt,8742,5.297162805255147,hAnt
zes,zɛs,8739,5.297013759501158,zEs
zoek,zuk,8704,5.295271102320104,zuk
gebeuren,ɣə - bøː - rən,8667,5.293421229514535,x@ - b| - r@
sinds,sɪnts,8664,5.293270893916691,sInts
fijn,fɛ - ɪn,8661,5.293120506260578,fKn
voordat,vɔːr - dɑt,8618,5.290959207578364,vor - dAt
bezig,beː - zəx,8589,5.289495490697997,be - z@x
klein,klɛ - ɪn,8556,5.287823858856048,klKn
vermoorden,vər - mɔːr - dən,8521,5.286043856731188,v@r - mor - d@
liggen,lɪ - ɣən,8520,5.285992892173024,lI - G@
stoppen,stɔ - pən,8494,5.284665710071819,stO - p@
straks,strɑks,8477,5.283795739098957,strAks
hetzelfde,hɛt - zɛlv - də,8470,5.283437008607934,hEt - sElv - d@
drinken,drɪŋ - kən,8469,5.283385737197461,drIN - k@
begin,bə - ɣɪn,8445,5.282153403955643,b@ - GIn
aardig,aːr - dəx,8394,5.279523027340822,ar - d@x
eerder,ɪːr - dər,8366,5.278072095852467,er - d@r
ander,ɑn - dər,8318,5.275573451164279,An - d@r
vent,vɛnt,8308,5.275051085835603,vEnt
waarheid,ʋaːrh - ɛ - ɪt,8282,5.27368998822568,war - hKt
neer,nɪːr,8255,5.272272011149891,ner
beneden,bə - neː - dən,8220,5.270426975071903,b@ - ne - d@
agent,aː - ɣɛnt,8159,5.267192485620615,a - GEnt
bloed,blut,8104,5.264255346051288,blut
los,lɔs,8081,5.263021172973383,lOs
gezicht,ɣə - zɪxt,8030,5.260271952773349,x@ - zIxt
oud,ʌʊt,8014,5.259405853556919,Mt
dicht,dɪxt,7972,5.257124090960112,dIxt
vallen,vɑ - lən,7914,5.253953246065129,vA - l@
avond,aː - vɔnt,7898,5.253074440692485,a - vOnt
eraan,ɛ - raːn,7886,5.25241416769278,Er - an
vaak,vaːk,7872,5.251642578308774,vak
oorlog,ɔːr - lɔx,7826,5.249097660686638,or - lOx
nieuws,niws,7802,5.24776393378229,niws
hoi,hoː - i,7790,5.24709553121572,hOj
schuld,sxɵlt,7788,5.246984030706274,sx}lt
plek,plɛk,7758,5.245308078734841,plEk
kennen,kɛ - nən,7745,5.244579819516819,kE - n@
stuk,stɵk,7682,5.241033160054847,st}k
sterven,stɛr - vən,7664,5.240014486057149,stEr - v@
rest,rɛst,7654,5.239447521901035,rEst
buurt,byrt,7651,5.239277288222013,byrt
veilig,vɛ - ɪ - ləx,7649,5.239163762020372,vK - l@x
mogelijk,moː - ɣə - lək,7635,5.238368246588384,mo - G@ - l@k
film,fɪlm,7621,5.237571271302903,fIlm
vriendin,vrin - dɪn,7592,5.235915726744672,vrin - dIn
redden,rɛ - dən,7556,5.23385174908453,rE - d@
terwijl,tɛr - ʋɛ - ɪl,7555,5.233794276116551,tEr - wKl
zin,zɪn,7550,5.23350679713478,zIn
rond,rɔnt,7550,5.23350679713478,rOnt
eerlijk,ɪːr - lək,7538,5.232816070178993,er - l@k
inderdaad,ɪn - dɛr - daːt,7535,5.232643216651576,In - d@r - dat
liever,li - vər,7526,5.232124242901028,li - v@r
overal,oː - və - rɑl,7523,5.231951113745096,o - v@r - Al
duidelijk,dœy - də - lək,7470,5.228881063275896,dL - d@ - l@k
langs,lɑŋs,7447,5.22754199484004,lANs
belangrijk,bə - lɑŋ - rɛ - ɪk,7434,5.226783299724728,b@ - lAN - rKk
hond,hɔnt,7375,5.223323234912328,hOnt
waarschijnlijk,ʋaːr - sxɛ - ɪn - lək,7360,5.222439144598393,war - sxKn - l@k
stond,stɔnt,7334,5.220902445046056,stOnt
baas,baːs,7312,5.219597900291002,bas
geluk,ɣə - lɵk,7260,5.21649876362395,x@ - l}k
mond,mɔnt,7256,5.216259449948296,mOnt
vandaan,vɑn - daːn,7254,5.216139743640509,vAn - dan
fout,fʌʊt,7227,5.214520470755649,fMt
per,pɛr,7171,5.2111426077569,pEr
ermee,ɛr - meː,7152,5.209990551911185,Er - me
mezelf,mə - sɛlf,7140,5.209261359941523,m@ - zElf
betalen,bə - taː - lən,7099,5.20676067558583,b@ - ta - l@
welkom,ʋɛl - kɔm,7086,5.205964759628271,wEl - kOm
stil,stɪl,7032,5.202642944280161,stIl
hard,hɑrt,6973,5.198984269906712,hArt
recht,rɛxt,6969,5.198735104964764,rExt
prachtig,prɑx - təx,6961,5.198236345815024,prAx - t@x
baan,baːn,6929,5.196235561478561,ban
erop,ɛ - rɔp,6917,5.195482884545097,Er - Op
kwaad,kʋaːt,6902,5.19454020025506,kwat
kapitein,kaː - pi - tɛ - ɪn,6902,5.19454020025506,kA - pi - tKn
telefoon,teː - lə - foːn,6862,5.192016325757426,te - l@ - fon
mam,mɑm,6852,5.191383058684149,mAm
pa,paː,6833,5.190177301329499,pa
gegeven,ɣə - ɣeː - vən,6777,5.186603891368113,x@ - Ge - v@
zetten,zɛ - tən,6705,5.181965875959555,zE - t@
baby,beː - bi,6638,5.177604995513676,be - bi
haat,haːt,6617,5.176229089690588,hat
dezelfde,də - zɛlv - də,6604,5.175375148817301,d@ - zElv - d@
boek,buk,6600,5.17511205961834,buk
trouwen,trʌʊ - ən,6571,5.173199881629779,trM - w@
rijden,rɛ - ɪ - dən,6561,5.172538552916784,rK - d@
zeer,zɪːr,6553,5.172008763913111,zer
hoezo,hu - zoː,6544,5.171411977753529,hu - zo
weken,ʋeː - kən,6485,5.167479271203709,we - k@
lichaam,lɪx - aːm,6452,5.165263991973879,lI - xam
geworden,ɣə - ʋɔr - dən,6434,5.16405087810716,x@ - wOr - d@
voorzichtig,vɔːr - zɪx - təx,6428,5.163645752628246,vor - zIx - t@x
jack,jɑk,6418,5.162969702551033,jEk
kwijt,kʋɛ - ɪt,6385,5.160731241070181,kwKt
daarna,daːr - naː,6370,5.159709931948797,dar - na
nergens,nɛr - ɣəns,6352,5.158481182202016,nEr - G@ns
erin,ɛ - rɪn,6330,5.156974640388226,Er - In
mens,mɛns,6326,5.156700161325904,mEns
vanaf,vɑ - nɑf,6288,5.154083921595302,vAn - Af
plan,plɑn,6268,5.152700596705714,plAn
elk,ɛlk,6231,5.150129771531263,Elk
deel,deːl,6225,5.149711443213251,del
moord,mɔːrt,6209,5.148593927043335,mort
noemen,nu - mən,6200,5.147964058213706,nu - m@
vertrouwen,vər - trʌʊ - ən,6198,5.147823963218328,v@r - trM - w@
wapen,ʋaː - pən,6148,5.144306819911403,wa - p@
pakken,pɑ - kən,6130,5.143033642993989,pA - k@
antwoord,ɑnt - ʋɔːrt,6127,5.142821083491302,Ant - wort
kerel,kɪː - rɛl,6108,5.141472451998764,ke - r@l
koning,koː - nɪŋ,6058,5.137903279363284,ko - nIN
geval,ɣə - vɑl,6000,5.133725953632851,x@ - vAl
tijdens,tɛ - ɪ - dəns,5888,5.125543881186424,tK - d@ns
nogal,noː - ɣɑl,5886,5.125396362678924,nOx - Al
allebei,ɑ - lə - bɛ - ɪ,5875,5.124584113984973,A - l@ - bK
lieverd,li - vɛrt,5873,5.124436269053536,li - v@rt
getrouwd,ɣə - trʌʊt,5847,5.122509690816559,x@ - trMwt
koffie,kɔ - fi,5829,5.121170881625769,kO - fi
veranderen,və - rɑn - də - rən,5811,5.119827932492738,v@r - An - d@ - r@
miljoen,mɪl - jun,5798,5.11885543561497,m@l - jun
schieten,sxi - tən,5787,5.118030849313755,sxi - t@
gisteren,ɣɪ - stə - rən,5763,5.116226299008707,xIs - t@ - r@
ver,vɛr,5750,5.11524569446448,vEr
zus,zɵs,5730,5.113732735324504,z}s
kopen,koː - pən,5713,5.112442562913479,ko - p@
erbij,ɛr - bɛ - ɪ,5710,5.112214487031526,Er - bK
tweede,tʋeː - də,5677,5.109697715056593,twe - d@
ziek,zik,5650,5.107627634164652,zik
woord,ʋɔːrt,5645,5.107243200677654,wort
president,preː - zi - dɛnt,5628,5.105933575526956,pre - zi - dEnt
leg,lɛx,5628,5.105933575526956,lEx
grappig,ɣrɑ - pəx,5617,5.105084061732314,xrA - p@x
gevoel,ɣə - vul,5609,5.104465188122916,x@ - vul
verloren,vər - loː - rən,5601,5.103845431354304,v@r - lo - r@
ontmoeten,ɔnt - mu - tən,5596,5.103457633773484,Ont - mu - t@
vreemd,vreːmt,5539,5.099012091595185,vremt
stap,stɑp,5533,5.098541481671688,stAp
vechten,vɛx - tən,5526,5.09799179144853,vEx - t@
plezier,pleː - zir,5475,5.093965766328707,pl@ - zir
daarmee,daːr - meː,5474,5.093886450378911,dar - me
vroeger,vru - ɣər,5442,5.091340661183828,vru - G@r
kantoor,kɑn - toːr,5441,5.091260864310494,kAn - tor
goeie,ɣu - jə,5441,5.091260864310494,xu - j@
fantastisch,fɑn - tɑ - stis,5421,5.089661840111221,fAn - tAs - tis
ervoor,ɛr - vɔːr,5419,5.089501613405142,Er - vor
zomaar,zɔ - maːr,5389,5.087091092053493,zo - mar
pardon,pɑr - dɔn,5306,5.08035141449614,pAr - dOn
normaal,nɔr - maːl,5250,5.075744345153812,nOr - mal
nieuw,niw,5241,5.074999343477336,niw
zichzelf,zɪx - sɛlf,5234,5.074419012881616,zIG - zElf
foto,foː - toː,5211,5.072506733907302,fo - to
pap,pɑp,5201,5.071672674726608,pAp
loop,loːp,5169,5.068992869960697,lop
voelen,vu - lən,5154,5.06773099648629,vu - l@
idioot,i - di - oːt,5129,5.06561969197857,i - di - jot
hemel,heː - məl,5110,5.064008207821992,he - m@l
winnen,ʋɪ - nən,5097,5.062902158000004,wI - n@
