Word,IPA,Syllables
kist,kˈɪst,kɪst
vrome,vrˈoːmə,vroː - mə
prachtig,prˈɑxtəx,prɑx - təx
enthousiaste,ˌɛntuʒˈɑstə,ɛn - tu - ʒɑ - stə
vertrokken,vərtrˈɔkən,vər - trɔ - kən
joost,jˈoːst,joːst
opende,ˈoːpəndə,oː - pən - də
vrienden,vrˈindən,vrin - dən
zuster,zˈɵstər,zɵ - stər
auto,ˈʌʊtoː,ʌʊ - toː
geeft,ɣˈeːft,ɣeːft
aantal,ˈaːntˌɑl,aːn - tɑl
knullig,knˈɵləx,knɵ - ləx
kraker,krˈaːkər,kraː - kər
dienaren,dˈinaːrən,di - naː - rən
gekomen,ɣəkˈoːmən,ɣə - koː - mən
koorts,kˈɔːrts,kɔːrts
vakkundige,vɑkˈɵndəɣə,vɑ - kɵn - də - ɣə
zag,zˈɑx,zɑx
lelijk,lˈeːlək,leː - lək
dorien,doːrˈin,doː - rin
probleem,prɔblˈeːm,prɔ - bleːm
barones,baːrˈoːnəs,baː - roː - nəs
natuur,naːtˈyr,naː - tyr
tuin,tˈœyn,tœyn
twintig,tʋˈɪntəx,tʋɪn - təx
erg,ˈɛrx,ɛrx
oudere,ˈʌʊdərə,ʌʊ - də - rə
verliezen,vərlˈizən,vər - li - zən
tanden,tˈɑndən,tɑn - dən
duizend,dˈœyzənt,dœy - zənt
willen,ʋˈɪlən,ʋɪ - lən
bevat,bəvˈɑt,bə - vɑt
loodgieter,loːdɣˈitər,loːd - ɣi - tər
frontale,frɔntˈaːlə,frɔn - taː - lə
privacy,prˈivaːsˌi,pri - vaː - si
ideale,ˌideːjˈaːlə,i - deː - jaː - lə
baas,bˈaːs,baːs
geld,ɣˈɛlt,ɣɛlt
verjaardag,vərjˈaːrdˌɑx,vər - jaːr - dɑx
zieke,zˈikə,zi - kə
gezin,ɣəzˈɪn,ɣə - zɪn
hevige,hˈeːvəɣə,heː - və - ɣə
jongens,jˈɔŋəns,jɔŋ - əns
en,ˈɛn,ɛn
plein,plˈɛɪn,plɛɪn
dreef,drˈeːf,dreːf
liep,lˈip,lip
dressoir,drɛsʋˈaːr,drɛs - ʋaːr
tienjarig,tiɲˈaːrəx,tiɲ - aː - rəx
kookt,kˈoːkt,koːkt
mannelijke,mˈɑnələkə,mɑ - nə - lə - kə
percentage,pˌɛrsəntˈaːʒə,pɛr - sən - taː - ʒə
schone,sxˈoːnə,sxoː - nə
schrijnende,sxrˈɛɪnəndə,sxrɛɪ - nən - də
hollandse,hˈɔlɑndsə,hɔ - lɑnd - sə
kippen,kˈɪpən,kɪ - pən
choreograaf,xˌoːrəɔɣrˈaːf,xoː - rə - ɔ - ɣraːf
manke,mˈɑŋkə,mɑŋ - kə
kokosnoten,kˌoːkɔsnˈoːtən,koː - kɔ - snoː - tən
weeft,ʋˈeːft,ʋeːft
bezocht,bəzˈɔxt,bə - zɔxt
getal,ɣətˈɑl,ɣə - tɑl
babies,baːbˈis,baː - bis
voorstelling,vˈɔːrstɛlˌɪŋ,vɔːr - stɛ - lɪŋ
sprak,sprˈɑk,sprɑk
vliegende,vlˈiɣəndə,vli - ɣən - də
draait,drˈaːjt,draːjt
vannacht,vɑnnˈɑxt,vɑn - nɑxt
heerlijke,hˈɪːrləkə,hɪːr - lə - kə
dagen,dˈaːɣən,daː - ɣən
prullenbak,prˈɵlənbˌɑk,prɵ - lən - bɑk
margriet,mɑrɣrˈit,mɑr - ɣrit
buikpijn,bœykpˈɛɪn,bœyk - pɛɪn
kreeg,krˈeːx,kreːx
nederlandse,nˈeːdərlˌɑndsə,neː - dər - lɑnd - sə
mannen,mˈɑnən,mɑ - nən
papier,paːpˈir,paː - pir
dat,dˈɑt,dɑt
onhandige,ɔnhˈɑndəɣə,ɔnh - ɑn - də - ɣə
acht,ˈɑxt,ɑxt
voorkeur,vˈɔːrkˌøːr,vɔːr - køːr
trouwe,trˈʌʊə,trʌʊ - ə
fout,fˈʌʊt,fʌʊt
ogende,ˈoːɣəndə,oː - ɣən - də
braderie,brˌaːdərˈi,braː - də - ri
drinkt,drˈɪŋkt,drɪŋkt
rondleiden,rˈɔndlɛɪdən,rɔnd - lɛɪ - dən
begon,bəɣˈɔn,bə - ɣɔn
afhankelijke,ˈɑfhˌɑŋkələkə,ɑfh - ɑŋ - kə - lə - kə
zenuwachtig,zˈeːnyʊˌɑxtəx,zeː - nyʊ - ɑx - təx
starre,stˈɑɾrə,stɑɾ - rə
immens,ɪmˈɛns,ɪ - mɛns
paar,pˈaːr,paːr
gerst,ɣˈɛrst,ɣɛrst
de,dˈə,də
smeris,smˈɪːrɪs,smɪː - rɪs
bewaard,bəʋˈaːrt,bə - ʋaːrt
iedereen,ˌidɪːrˈeːn,i - dɪː - reːn
drang,drˈɑŋ,drɑŋ
mechanicus,mɛxˈaːnikˌɵs,mɛx - aː - ni - kɵs
blije,blˈɛɪə,blɛɪ - ə
drukknop,drˈɵknɔp,drɵk - nɔp
het,hˈət,hət
ergernis,ˈɛrɣərnˌɪs,ɛr - ɣər - nɪs
cockpit,kˈɔkpɪt,kɔk - pɪt
persoon,pɛrsˈoːn,pɛr - soːn
blunder,blˈɵndər,blɵn - dər
jochem,jˈɔxəm,jɔx - əm
wast,ʋˈɑst,ʋɑst
deugniet,døːɣnˈit,døːɣ - nit
geduldig,ɣədˈɵldəx,ɣə - dɵl - dəx
zat,zˈɑt,zɑt
paadje,pˈaːtjə,paːt - jə
per,pˈɛr,pɛr
bezem,bˈeːzəm,beː - zəm
joris,jˈoːrɪs,joː - rɪs
in,ˈɪn,ɪn
verzorgde,vərzˈɔrɣdə,vər - zɔrɣ - də
borrels,bˈɔɾrəls,bɔɾ - rəls
moeite,mˈujtə,muj - tə
andere,ˈɑndərə,ɑn - də - rə
hond,hˈɔnt,hɔnt
periode,pˌɪːriˈoːdə,pɪː - ri - oː - də
geringe,ɣərˈɪŋə,ɣə - rɪŋ - ə
zeldzame,zˈɛldzaːmə,zɛld - zaː - mə
ziekenhuis,zˈikɛnhˌœys,zi - kɛnh - œys
geven,ɣˈeːvən,ɣeː - vən
trots,trˈɔts,trɔts
bruidspaar,brˈœydspaːr,brœyd - spaːr
man,mˈɑn,mɑn
arbeiders,ˈɑrbɛɪdərs,ɑr - bɛɪ - dərs
takken,tˈɑkən,tɑ - kən
bergen,bˈɛrɣən,bɛr - ɣən
beschermde,bəsxˈɛrmdə,bə - sxɛrm - də
redde,rˈɛdə,rɛ - də
dieven,dˈivən,di - vən
wangedrag,ʋˈɑŋɣədrˌɑx,ʋɑŋ - ɣə - drɑx
van,vˈɑn,vɑn
salade,saːlˈaːdə,saː - laː - də
rij,rˈɛɪ,rɛɪ
heel,hˈeːl,heːl
extra,ˈɛkstraː,ɛk - straː
brute,brˈytə,bry - tə
diamanten,dˌiaːmˈɑntən,di - aː - mɑn - tən
kilo,kˈiloː,ki - loː
vaas,vˈaːs,vaːs
ontving,ɔntvˈɪŋ,ɔnt - vɪŋ
minder,mˈɪndər,mɪn - dər
drogist,droːɣˈɪst,droː - ɣɪst
openbare,ˈoːpənbˌaːrə,oː - pən - baː - rə
bloed,blˈut,blut
afgedwongen,ˈɑfɣədʋˌɔŋən,ɑf - ɣəd - ʋɔŋ - ən
verkeerde,vərkˈɪːrdə,vər - kɪːr - də
bladeren,blˈaːdərən,blaː - də - rən
grond,ɣrˈɔnt,ɣrɔnt
zou,zˈʌʊ,zʌʊ
moeten,mˈutən,mu - tən
enkel,ˈɛŋkəl,ɛŋ - kəl
doorzet,dˈɔːrzɛt,dɔːr - zɛt
zocht,zˈɔxt,zɔxt
boom,bˈoːm,boːm
bodyguard,bˈoːdiɣˌyɑrt,boː - di - ɣy - ɑrt
venster,vˈɛnstər,vɛn - stər
handschoenen,hˈɑndsxunən,hɑnd - sxu - nən
prijzen,prˈɛɪzən,prɛɪ - zən
fanatieke,fˌaːnaːtˈikə,faː - naː - ti - kə
zondagse,zˈɔndɑxsə,zɔn - dɑx - sə
toen,tˈun,tun
geweten,ɣəʋˈeːtən,ɣə - ʋeː - tən
glimmende,ɣlˈɪməndə,ɣlɪ - mən - də
verwende,vərʋˈɛndə,vər - ʋɛn - də
terecht,tərˈɛxt,tə - rɛxt
clowns,klˈɔwns,klɔwns
oogarts,ˈoːɣɑrts,oː - ɣɑrts
lag,lˈɑx,lɑx
verpleegster,vərplˈeːxstər,vər - pleːx - stər
huisvestte,hˈœysfɛstə,hœy - sfɛ - stə
alcohol,ˈɑlkoːhˌɔl,ɑl - koːh - ɔl
verpest,vərpˈɛst,vər - pɛst
knusse,knˈɵsə,knɵ - sə
criminelen,krˌiminˈeːlən,kri - mi - neː - lən
cruciale,krˈyʃaːlə,kry - ʃaː - lə
struikelde,strˈœykəldə,strœy - kəl - də
kregen,krˈeːɣən,kreː - ɣən
totale,toːtˈaːlə,toː - taː - lə
kies,kˈis,kis
houdt,hˈʌʊt,hʌʊt
behoefte,bəhˈuftə,bəh - uf - tə
winst,ʋˈɪnst,ʋɪnst
overdracht,ˌoːvərdrˈɑxt,oː - vər - drɑxt
eeuwenoude,ˈeʊənˌʌʊdə,eʊ - ə - nʌʊ - də
parkiet,pɑrkˈit,pɑr - kit
zorgzaam,zˈɔrɣzaːm,zɔrɣ - zaːm
vond,vˈɔnt,vɔnt
druppende,drˈɵpəndə,drɵ - pən - də
zachte,zˈɑxtə,zɑx - tə
dief,dˈif,dif
maandag,mˈaːndɑx,maːn - dɑx
animatie,ˌaːnimˈaːtsi,aː - ni - maːt - si
lijdende,lˈɛɪdəndə,lɛɪ - dən - də
proces,proːsˈɛs,proː - sɛs
liepen,lˈipən,li - pən
tendens,tˈɛndəns,tɛn - dəns
anne,ˈɑnə,ɑ - nə
eigen,ˈɛɪɣən,ɛɪ - ɣən
verwend,vərʋˈɛnt,vər - ʋɛnt
geschonken,ɣəsxˈɔŋkən,ɣə - sxɔŋ - kən
nemen,nˈeːmən,neː - mən
warme,ʋˈɑrmə,ʋɑr - mə
populair,pˌoːpylˈɛr,poː - py - lɛr
ingerend,ˈɪnɣərˌɛnt,ɪn - ɣə - rɛnt
duivel,dˈœyvəl,dœy - vəl
speurhond,spˈøːrhɔnt,spøːrh - ɔnt
flinke,flˈɪŋkə,flɪŋ - kə
dromen,drˈoːmən,droː - mən
kunnen,kˈɵnən,kɵ - nən
dwaling,dʋˈaːlɪŋ,dʋaː - lɪŋ
stoel,stˈul,stul
treitert,trˈɛɪtərt,trɛɪ - tərt
biertje,bˈirtʲə,birtʲ - ə
scherpe,sxˈɛrpə,sxɛr - pə
ieders,ˈidərs,i - dərs
verbaasd,vərbˈaːst,vər - baːst
verre,vˈɛrə,vɛ - rə
netjes,nˈɛtʲəs,nɛtʲ - əs
dwaalspoor,dʋaːlspˈoːr,dʋaːl - spoːr
berouw,bərˈʌʊ,bə - rʌʊ
psycholoog,psˈɪxoːlˌoːx,psɪx - oː - loːx
zomaar,zˈɔmaːr,zɔ - maːr
ruzie,ryzˈi,ry - zi
vera,vərˈaː,və - raː
poort,pˈɔːrt,pɔːrt
tijdrovende,tˈɛɪdroːvəndə,tɛɪ - droː - vən - də
kun,kˈɵn,kɵn
nam,nˈɑm,nɑm
nationaal,nˌaːʃoːnˈaːl,naː - ʃoː - naːl
ingang,ˈɪnɣˌɑŋ,ɪn - ɣɑŋ
boswachter,bˈɔsʋɑxtər,bɔs - ʋɑx - tər
scholier,sxoːlˈir,sxoː - lir
berispte,bərˈɪsptə,bə - rɪsp - tə
bijna,bˈɛɪnˌaː,bɛɪ - naː
tegenslag,tˈeːɣənslˌɑx,teː - ɣən - slɑx
tekort,təkˈɔrt,tə - kɔrt
overlast,ˌoːvərlˈɑst,oː - vər - lɑst
gedreven,ɣədrˈeːvən,ɣə - dreː - vən
hard,hˈɑrt,hɑrt
kleintje,klˈɛɪntʲə,klɛɪntʲ - ə
gieter,ɣˈitər,ɣi - tər
controle,kɔntrˈoːlə,kɔn - troː - lə
trad,trˈɑt,trɑt
gammele,ɣˈɑmələ,ɣɑ - mə - lə
frank,frˈɑŋk,frɑŋk
regionale,rˌeːɣioːnˈaːlə,reː - ɣi - oː - naː - lə
doen,dˈun,dun
dwaasheden,dʋˈaːsheːdən,dʋaːsh - eː - dən
gehaald,ɣəhˈaːlt,ɣəh - aːlt
werkte,ʋˈɛrktə,ʋɛrk - tə
bus,bˈɵs,bɵs
verloren,vərlˈoːrən,vər - loː - rən
adviseert,ˌɑdvizˈɪrt,ɑd - vi - zɪrt
ligt,lˈɪxt,lɪxt
zorgen,zˈɔrɣən,zɔr - ɣən
uitlegt,ˈœytlˌɛxt,œyt - lɛxt
complete,kɔmplˈeːtə,kɔm - pleː - tə
woonplaats,ʋˈoːnplˌaːts,ʋoːn - plaːts
bureaucratie,byrˈoːkraːtsˌi,by - roː - kraːt - si
darmen,dˈɑrmən,dɑr - mən
makelaar,maːkˈɛlaːr,maː - kɛ - laːr
zaal,zˈaːl,zaːl
drie,drˈi,dri
centrale,sɛntrˈaːlə,sɛn - traː - lə
bonus,bˈoːnɵs,boː - nɵs
genoeg,ɣənˈux,ɣə - nux
actiegroep,ˈɑksiɣrˌup,ɑk - si - ɣrup
verrassingen,vərrˈɑsɪŋən,vər - rɑ - sɪŋ - ən
bedrijven,bədrˈɛɪvən,bə - drɛɪ - vən
tabak,tˈaːbɑk,taː - bɑk
behandelt,bəhˈɑndəlt,bəh - ɑn - dəlt
tweede,tʋˈeːdə,tʋeː - də
puber,pˈybər,py - bər
kom,kˈɔm,kɔm
vastgesteld,vˈɑstɣɛstəlt,vɑst - ɣɛ - stəlt
raadplegen,raːdplˈeːɣən,raːd - pleː - ɣən
bedoeling,bədˈulˌɪŋ,bə - du - lɪŋ
brengen,brˈɛŋən,brɛŋ - ən
afkomen,ˈɑfkˌoːmən,ɑf - koː - mən
kraan,krˈaːn,kraːn
lekkages,lɛkˈaːʒəs,lɛ - kaː - ʒəs
richard,rˈɪxɑrt,rɪx - ɑrt
arbeidsethos,ˈɑrbɛɪdsˌɛtɔs,ɑr - bɛɪd - sɛ - tɔs
stakingen,stˈaːkɪŋən,staː - kɪŋ - ən
pakjes,pˈɑkjəs,pɑk - jəs
advertentie,ˌɑdvərtˈɛntsi,ɑd - vər - tɛnt - si
orkest,ˈɔrkɛst,ɔr - kɛst
carolien,kˌaːroːlˈin,kaː - roː - lin
pas,pˈɑs,pɑs
boos,bˈoːs,boːs
dinsdag,dˈɪnzdɑx,dɪnz - dɑx
veroordeeld,vərˈɔːrdeːlt,və - rɔːr - deːlt
dorre,dˈɔɾrə,dɔɾ - rə
gegeten,ɣəɣˈeːtən,ɣə - ɣeː - tən
floor,flˈoːr,floːr
liet,lˈit,lit
gebak,ɣəbˈɑk,ɣə - bɑk
moedige,mˈudəɣə,mu - də - ɣə
wind,ʋˈɪnt,ʋɪnt
beoordeelt,bəˈɔːrdeːlt,bə - ɔːr - deːlt
kamer,kˈaːmər,kaː - mər
vermoeide,vərmˈujdə,vər - muj - də
werden,ʋˈɛrdən,ʋɛr - dən
huwelijk,hˈywələk,hyw - ə - lək
ei,ˈɛɪ,ɛɪ
vergeten,vərɣˈeːtən,vər - ɣeː - tən
bramen,brˈaːmən,braː - mən
sluiten,slˈœytən,slœy - tən
heks,hˈɛks,hɛks
opjaagt,ˈɔpjaːxt,ɔp - jaːxt
woog,ʋˈoːx,ʋoːx
vreest,vrˈeːst,vreːst
broek,brˈuk,bruk
gouden,ɣˈʌʊdən,ɣʌʊ - dən
moeders,mˈudərs,mu - dərs
vrijwilliger,vrɛɪʋˈɪləɣər,vrɛɪ - ʋɪ - lə - ɣər
milde,mˈɪldə,mɪl - də
oom,ˈoːm,oːm
leest,lˈeːst,leːst
groene,ɣrˈunə,ɣru - nə
uitkiest,ˈœytkˌist,œyt - kist
eik,ˈɛɪk,ɛɪk
orthopeed,ˌɔrtoːpˈeːt,ɔr - toː - peːt
kritisch,krˈitis,kri - tis
bloemen,blˈumən,blu - mən
taaie,tˈaːjə,taː - jə
bek,bˈɛk,bɛk
sollicitant,sˌɔlisitˈɑnt,sɔ - li - si - tɑnt
afgelopen,ˈɑfɣəlˌoːpən,ɑf - ɣə - loː - pən
allemaal,ˌɑləmˈaːl,ɑ - lə - maːl
toestand,tˈustˌɑnt,tu - stɑnt
leden,lˈeːdən,leː - dən
bracht,brˈɑxt,brɑxt
inhuurde,ˈɪnhˌyrdə,ɪnh - yr - də
deuren,dˈøːrən,døː - rən
opa,ˈoːpaː,oː - paː
op,ˈɔp,ɔp
vermiste,vərmˈɪstə,vər - mɪ - stə
kring,krˈɪŋ,krɪŋ
elkaar,ˈɛlkaːr,ɛl - kaːr
clown,klˈɔwn,klɔwn
niemand,nˈimɑnt,ni - mɑnt
ineen,inˈeːn,i - neːn
bezorgde,bəzˈɔrɣdə,bə - zɔrɣ - də
twaalf,tʋˈaːlf,tʋaːlf
fabrikant,fˌɑbrikˈɑnt,fɑ - bri - kɑnt
bewoner,bəʋˈoːnər,bə - ʋoː - nər
vooraan,vˈɔːrˌaːn,vɔː - raːn
sinds,sˈɪnts,sɪnts
kantine,kɑntˈinə,kɑn - ti - nə
wel,ʋˈɛl,ʋɛl
bovenste,bˈoːvənstˌeː,boː - vən - steː
raadsman,rˈaːdsmɑn,raːd - smɑn
karaf,kˈaːrɑf,kaː - rɑf
pokken,pˈɔkən,pɔ - kən
fles,flˈɛs,flɛs
bezwaar,bəzʋˈaːr,bəz - ʋaːr
raad,rˈaːt,raːt
bouwsel,bˈʌʊsəl,bʌʊ - səl
hans,hˈɑns,hɑns
telefoon,tˌeːləfˈoːn,teː - lə - foːn
dirigent,dˌiriɣˈɛnt,di - ri - ɣɛnt
gebruikt,ɣəbrˈœykt,ɣə - brœykt
gelukkig,ɣəlˈɵkəx,ɣə - lɵ - kəx
donderdag,dˈɔndərdˌɑx,dɔn - dər - dɑx
vasthield,vɑstˈilt,vɑ - stilt
heftige,hˈɛftəɣə,hɛf - tə - ɣə
trekhaak,trɛkhˈaːk,trɛkh - aːk
kunstacademie,kˌɵnstaːkˌaːdəmˈi,kɵn - staː - kaː - də - mi
bands,bˈɑnts,bɑnts
bochten,bˈɔxtən,bɔx - tən
onnodige,ɔnnˈoːdəɣə,ɔn - noː - də - ɣə
misleidde,mɪslˈɛɪdə,mɪ - slɛɪ - də
gehouden,ɣəhˈʌʊdən,ɣəh - ʌʊ - dən
geweest,ɣəʋˈeːst,ɣə - ʋeːst
kidnapper,kˈɪdnɑpər,kɪd - nɑ - pər
hondje,hˈɔntjə,hɔnt - jə
varken,vˈɑrkən,vɑr - kən
lieten,lˈitən,li - tən
vragen,vrˈaːɣən,vraː - ɣən
bewaart,bəʋˈaːrt,bə - ʋaːrt
arts,ˈɑrts,ɑrts
troosten,trˈoːstən,troː - stən
tot,tˈɔt,tɔt
boeken,bˈukən,bu - kən
kluis,klˈœys,klœys
vandaar,vɑndˈaːr,vɑn - daːr
vaste,vˈɑstə,vɑ - stə
stappen,stˈɑpən,stɑ - pən
bidden,bˈɪdən,bɪ - dən
vermaken,vərmˈaːkən,vər - maː - kən
bevrijden,bəvrˈɛɪdən,bə - vrɛɪ - dən
bekogelt,bəkˈoːɣəlt,bə - koː - ɣəlt
weinig,ʋˈɛɪnəx,ʋɛɪ - nəx
pindakaas,pˌɪndaːkˈaːs,pɪn - daː - kaːs
huilde,hˈœyldə,hœyl - də
vochtig,vˈɔxtəx,vɔx - təx
eindigde,ˈɛɪndɪɣdə,ɛɪn - dɪɣ - də
gelegd,ɣəlˈɛxt,ɣə - lɛxt
springt,sprˈɪŋt,sprɪŋt
schuurtje,sxˈyrtʲə,sxyrtʲ - ə
groten,ɣrˈoːtən,ɣroː - tən
terrein,tˈɛɾrɛɪn,tɛɾ - rɛɪn
witte,ʋˈɪtə,ʋɪ - tə
trainer,trˈeːnər,treː - nər
gezet,ɣəzˈɛt,ɣə - zɛt
langer,lˈɑŋər,lɑŋ - ər
puppy,pˈɵpi,pɵ - pi
onderwijst,ˈɔndərʋˌɛɪst,ɔn - dər - ʋɛɪst
india,ˈɪndˌiaː,ɪn - di - aː
psychose,psɪxˈoːsə,psɪx - oː - sə
bonbons,bɔnbˈɔns,bɔn - bɔns
midden,mˈɪdən,mɪ - dən
artiesten,ˈɑrtistən,ɑr - ti - stən
makelaars,mˈaːkəlˌaːrs,maː - kə - laːrs
verdienen,vərdˈinən,vər - di - nən
wild,ʋˈɪlt,ʋɪlt
lompen,lˈɔmpən,lɔm - pən
royale,rˈoːiˌaːlə,roː - i - aː - lə
gestemd,ɣəstˈɛmt,ɣə - stɛmt
had,hˈɑt,hɑt
komende,kˈoːməndə,koː - mən - də
mede,mˈeːdə,meː - də
danspasjes,dˈɑnspɑsjəs,dɑn - spɑs - jəs
spelend,spˈeːlənt,speː - lənt
groente,ɣrˈuntə,ɣrun - tə
passende,pˈɑsəndə,pɑ - sən - də
gepoetst,ɣəpˈutst,ɣə - putst
consumptie,kɔnsˈɵmpsi,kɔn - sɵmp - si
waarzegster,ʋˈaːrzɛxstər,ʋaːr - zɛx - stər
taxi,tˈɑksi,tɑk - si
waren,ʋˈaːrən,ʋaː - rən
als,ˈɑls,ɑls
afgerond,ˈɑfɣərˌɔnt,ɑf - ɣə - rɔnt
kast,kˈɑst,kɑst
hangt,hˈɑŋt,hɑŋt
begeleider,bəɣəlˈɛɪdər,bə - ɣə - lɛɪ - dər
behulpzame,bəhˈɵlpzaːmə,bəh - ɵlp - zaː - mə
nieuw,nˈiw,niw
hand,hˈɑnt,hɑnt
iedere,ˈidərə,i - də - rə
pootjes,pˈoːtʲəs,poːtʲ - əs
omstanders,ˈɔmstɑndərs,ɔm - stɑn - dərs
feestgangers,fˈeːstɣɑŋərs,feːst - ɣɑŋ - ərs
eikenhout,ˈɛɪkɛnhˌʌʊt,ɛɪ - kɛnh - ʌʊt
biggetje,bˈɪɣɛtʲə,bɪ - ɣɛtʲ - ə
klimaat,klimˈaːt,kli - maːt
gebroken,ɣəbrˈoːkən,ɣə - broː - kən
psychiater,psˈɪxiˌaːtər,psɪx - i - aː - tər
dertigste,dˈɛrtəxstə,dɛr - təx - stə
heilige,hˈɛɪləɣə,hɛɪ - lə - ɣə
verwacht,vərʋˈɑxt,vər - ʋɑxt
politie,poːlˈitsi,poː - lit - si
tamme,tˈɑmə,tɑ - mə
gehad,ɣəhˈɑt,ɣəh - ɑt
ploeg,plˈux,plux
wandelaars,ʋˈɑndəlˌaːrs,ʋɑn - də - laːrs
ontloopt,ɔntlˈoːpt,ɔnt - loːpt
periodieke,pˌɪːrioːdˈikə,pɪː - ri - oː - di - kə
pieren,pˈirən,pi - rən
lette,lˈɛtə,lɛ - tə
beter,bˈeːtər,beː - tər
elektronisch,ˌeːlɛktrˈoːnis,eː - lɛk - troː - nis
begint,bəɣˈɪnt,bə - ɣɪnt
trommels,trˈɔməls,trɔ - məls
bedenkt,bədˈɛŋkt,bə - dɛŋkt
tulpen,tˈɵlpən,tɵl - pən
voorganger,vˈɔːrɣɑŋər,vɔːr - ɣɑŋ - ər
te,tˈə,tə
ongelukken,ˈɔnɣəlˌɵkən,ɔn - ɣə - lɵ - kən
knuppel,knˈɵpəl,knɵ - pəl
luisteren,lˈœystərən,lœy - stə - rən
vele,vˈeːlə,veː - lə
mocht,mˈɔxt,mɔxt
drukke,drˈɵkə,drɵ - kə
opgesloten,ˈɔpɣəslˌoːtən,ɔp - ɣə - sloː - tən
massale,mɑsˈaːlə,mɑ - saː - lə
schrikken,sxrˈɪkən,sxrɪ - kən
daders,dˈaːdərs,daː - dərs
moordenaar,mˈɔːrdənˌaːr,mɔːr - də - naːr
drummer,drˈɵmər,drɵ - mər
boerendorp,bˈurəndˌɔrp,bu - rən - dɔrp
amsterdam,ˈɑmstərdˌɑm,ɑm - stər - dɑm
schooljaar,sxˈoːljaːr,sxoːl - jaːr
