Syllables,Cumulative FREQcount
mɔst,3
 eːɾ ,2
pi ,32392
 veːlt,552
 if,355
 frɪn,3
ɔkr,2
ɣrɪx ,3
 tɑwks,1
saːl,665
 fyr ,1
sxvɪts,1
blɪŋ,299
daːjs,76
 sxøː ,296
lɔx ,1111
 ɑxt,806
 bɪŋs,1
bɾreː,1
dɛʋ ,7
nitr,1
sxeʊt,1
ɑfblj ,1
fɔtx,5
prɑj ,139
sxɛrpst,1
vɔːr ,64424
mɑltʋh ,1
tɛm,9669
ʋu,6765
spik ,30
sxɛnt,83
saːjs,18
 strɛɪs ,1
 nɔ ,1744
kut ,139
 roːms,4
 paːr ,114
baːrn,1
 vudlŋ ,1
stɔɡ ,22
brɛn ,738
 kraːn ,8
 ʋits,3
sɔrxh ,5
tʲɛr ,2
 nɔdl ,3
lɪft,3145
mɔlk,2
klaːŋ,1
maːrw ,2
hɛls,50
 nɵt ,46
 skɑtx ,6
 liv ,1844
 kleːd ,56
 tɵr ,158
 snur ,1
 bleːf,175
 eːnsx ,1
ktlaː,2
ɔd ,8318
 spɑnt,147
 zɑŋ ,178
ʋɑnt ,54
tʲɛx ,2
 fir ,3
 kɑjsk,1
tʲip,2
 smɵlt,4
 ɑlf ,2
 vənz ,233
bry,2988
kɑps,32
hɪx ,127
zaːɣ ,81
slaːtʲ ,20
ʃɛkt,375
 beːh ,227
strɑŋks,1
 klɵs,368
tnɔrts,2
 məx,460
ɣix ,93
hɪŋkt,14
ɔmʋ ,4
ɑ̃ ,242
vraːt ,28
sklɪː ,78
 nɔt,544
tuk ,54
 vɛrt,6381
 ɣaːf,167
 zir,6109
 tɵnh ,1
heːf,160003
ɑjnt,59
ɑjks,37
 vɪt ,12
blɪx ,2
tɛrml ,1
 nɪːɾr,1
sxɑr ,109
bɑɾ ,1239
 rɔms,4
 raːks,1
 ɣɪlt,23
 skoːr,8
mɛː ,115
 ɔnth ,2
 byt ,141
 mɛml ,2
mkfɑ ,6
 køːrs,4
 kaːj ,1
snaːr,54
 kust,1
sɵl,695
 møː ,240
keː,18247
mrʋɑlʃ,1
 ʃɛrt,1
beːldk ,4
 stɔph ,261
rɔk,6026
 skɵ ,822
 rɔl,1848
 vlixh ,1
rʌʊnd ,21
 ləks ,718
 rɔŋ,49
ʋɪʃ,20
kzi,3
 ɛhs,2
ʋhɑk ,2
ɑfx ,73
 skərs,260
krɛɪsh ,1
 tɔp ,526
pɵŋks,8
ʋɵr ,376
 rɑjs,18
 bluj,26
 pɛŋ ,25
zɔrt,33
 bɪk,97
 blɵst,68
stœyt,167
 aːx,109
 smɪk,5
 skleːt,21
mɪxs,22
ɔkp,52
ɣlɪk ,4
sprɪnt,61
vɪsx ,11
 bɵn,138
 tɔsh ,27
 eːn,13923
skrhɛɪf,1
hœys,38380
 pəndh ,1
 tɔ ,6959
rʌʊnt ,1
ʋpaː,7
kɑŋ ,1480
boːn ,21
dɵrv ,523
 nɪŋ,34016
 ɣlɑr,8
heːtf,1
 trurt,145
 sfər ,2270
lɛɪsh ,4
 skɔrtʲ ,1
 ʋitʲ ,1
mknɛ ,10
pyt ,22
sxrɪft,187
 slɛs,168
ʋɛɪs,9697
ɛltx ,7
 flɛtʲ ,1
mɵm,569
 rit ,15
doːrs,34
xpaː,7
krɔs,165
 rɔnt,2150
 drɑn ,12
 nɔt ,23
 bɑps,6
 buf,31
trɛɪn,3712
bɔxh ,2
duh,1
lpeː ,1
 zɵxt ,1
 traːk,298
 lup,3
ʃɔk,503
 sxu,1440
 ʃəm,2
 trɪp,61
rɪsh ,119
 nʌʊts,56
krœyz ,111
 slɑnt,2223
ɣeːr ,178
stɑlkt,57
 krɑsh ,19
blɛ ,381
mɛm,831
spudh ,3
sɵmpk ,2
skoːr,75
 dənx ,1
brɑd ,222
tɪŋkh ,39
ɣoːdx ,19
speːd ,98
 tøː ,253
 smɪn ,11
 tɵlp ,2
 sxɑlk,133
drɛk,116
 sɔp ,661
 vrɛɪh ,6
 ɣlɔs,21
 noː,38798
kʋit,1
 nɛlŋ,1
flɛt ,5
eːnz ,15
 loːh ,122
skɛl ,11
speːx ,95
brɛr,1
ɪnsxrljvlŋ ,2
bɔntʲ ,119
 smɛɪn ,5
ut ,3636
krɛɪxt,14336
 nɑkt,20
 mus,133
ɣrɑl,1
pɔpk ,2
spɑʋ ,4
klɛɪnsx ,1
 pøːk,4
lmbɛrt,1
ŋkrœyd ,1
vleːz ,33
 ɔtk ,1
 mɵnt ,18
 ʒøːs,19
jaːp,25
 krɔp,41
tky,4
snɑpsh ,5
lix,12196
feːst ,468
rɔl ,992
 ɑwl,1
 sən,125869
kɛɪ,84883
 stʌʊtʲ ,3
 daːh ,82
 mɛɪntʲ ,19
mɛrx ,44
 smɑl ,4
bœys,660
stɵl ,9
 zœyt,30
 ʋɑt ,1
stɪftʲ ,1
 rɛnx,1
ryw ,1022
slɛɪp ,24
 bœyl,94
 stɛlsh ,1
krup,24
 nɑrm ,3
 drixt,280
sɑhl,24
 tɪːrh ,3
prœyl,30
sxʋɪl,1
ʃri,27
klɛmsx ,2
 kɛrx,1
 dʌʊks,18
mɵɣ ,5
ʋɛk,1102
kɵnstz ,3
moːn,503
 bɑns,13
 stɛrstʲ ,1
ʃɛns,1
 braːls,1
ʃɑn,1377
fɪlm,12170
 neːlz ,46
 klɛf,1
 meːt,180
pjɔŋ ,1
ʌʊnt ,97
ʋaːx ,28
slɑmh ,1
fɛɪn ,245
 stykt,4
vrɑxtsh ,10
 ɣish ,6
mpoː ,6
mɔndx ,1
ʋeːx ,139
 klʌʊx,5
lʌʊr,125
kɑss,124
sɔk,350
zjɪn,2
kɵtx ,6
ɪsx,98
 zɔxt,4488
ʋɪtst,1
 sɑrm ,5
 skaːns,3
ɑrs,5700
ɣʌʊdz ,13
mɵnlx,1
 zɛrk,7
sxreːf,1871
oːɣ ,1942
snɛl,22263
 feːk,36
zɵl,18196
 ɛk ,115
raːjtʲ ,5
vluj,799
 truf,33
dskɑʃ ,1
 tɛrf,38
 keːx ,3
 prufts,1
kɔːrtʲ ,15
ɣœylt,3
 ɔh ,1
hɛɪh ,2
hɑjɣ ,1
aːrk ,37
 pɑk ,372
try,1625
ɣrɪŋ ,113
 spɛk,9153
 laːj ,20
 nɑls,424
tʌʊsx ,1
ɑp,71519
 ɣɑjnst,3
eːm,68485
lɑŋk ,238
ʃɑrms,1
 prɔn ,2
dɔɾ ,65
 moːns,4
kɑx ,343
ɛpr,3
kɑrh ,2
slɛɪt ,14
frɔn ,1014
 ʋɪtz ,2
drlɛlŋ,1
 toːst,37
 klɪx ,16
 fɵt ,37
vlurd ,1
hoːf,12004
 bɛɪntʲ ,5
 nɔph ,59
 tirtʲ ,94
 tɵlxt,1
rɔkn ,7
 bleːkt,42
bəvr ,2
smɪːrl,3
droːmk ,4
flɔks,26
 slʌʊs,2
ʃɪht ,1
mzɔn ,1
 vɪx ,2
vrɪŋks,15
tzy,2
mɑwz ,2
lɑt ,1202
 sxim,1
ɣreːt,37
 ɣaːr ,57
 skrɑts,1
 ʋɪnst,155
 tinh ,41
pɛstʲ ,2
spɪts ,6
 zøːm ,47
 fɑx ,15
klɑŋk,102
 spɑkh ,3
dœyz ,17
ɵm ,3698
bɔf,823
hɑbz ,5
zɛn,4869
stit,897
 stɔːrt,2724
ʋɑrn ,1
 fɵrt ,2
 frɪrt,3
 broːk,131
 bəns ,1
kɵtx,8
sxleː ,41
 nøːrs,66
sxʋɑrts,34
ʃɪŋ ,54
lɑst ,318
 rɔ̃n,24
 ʋœyv ,1
jeːtʲ ,915
staːj,14
ʋɛŋ,455
frɑɣ ,157
snɪtx,2
leːw ,17
 skɪls,7
 ʃərs,35
lœyk,431
 vɔlklŋ,2
 rɑrmh ,1
kʋɛlt,50
stɪŋk,1302
hɵ ,750
 trɛɪd ,4
 strɑjl,5
haːrh ,8
fɛlps,64
bɑkr,1
ksi ,73
bɪs,320
jɑlk,1
 prɪnts,13
ʃɪnsh ,1
tmɛɪs ,1
rɛxt,21266
ɔf ,5419
 ɣrip ,4
 ɣʌʊ ,118
 koːph ,1
sloːm,45
 sxaːmt,290
 zoːj ,32
rɛpt ,3
 trɔfsk,2
ltʲeː,1
ɑnw ,1
dɵr,4666
jaːh,121
zoːm ,16
 stɔf ,385
 zœym,56
kʋɑkt,3
xɔrts,1
ɔnp,2
frɛt ,2
ɛŋ ,60942
trɪm ,23
mklɑws,1
 ɣɵxt,65
treːn ,248
 krɪŋs,1
 pɛlt,361
paː ,39874
ɑfsxrlkml ,1
nʌʊst,1
pʌʊnt ,1
sɛrf,10
naːh ,170
drɑŋ ,108
ɛlst ,9
kɑlxh ,1
 flɪktʲ ,1
hboː,41
zɔtʲ ,1
plaːx ,4
stɔr ,4812
 mujdh ,3
roːv ,407
plraːt,1
sɪf ,7
styt ,5
pɪft,11
dɪms,1
 slaːx,649
eːkh ,487
 rɪljk,1
nʌʊ ,2697
 staːnd ,1
krɔz ,37
ʃoːn,3
lɛɪksh ,1
mɪtz ,41
ʋɔk ,3
kɑmps,8
 frɵk,16
nɛx ,136
 eːlt,120
vaːxs,8
 mɪsts,2
 zins ,49
 trɔv ,6
tʃɪlp,1
 jɑk,251
ʃmɑl,2
 vils,1
 ʋeːt ,22
 fəls,902
 ɣriks,4
 poːst,3
zaːj ,51
jɛn,759
bəst ,516
 bɪlts,2
ɣɛm,11
ɣrɪnx ,2
 ju ,4779
boːtsk,2
blɛnh ,27
 stoːr ,92
drɪlt,7
 trɵst ,6
prɔnt,1
 sfɪnt,118
tɔːrtz ,1
 rɑnsh ,1
 bɔnst,1
 lɑmb ,3
 nɪŋkt,10
 ʋeːf,91
ɑɲ ,4661
klɵt ,20
 mɑtl ,7
ʋaːrsh ,2
lɛlt,28
lnsɛk ,4
 lɑk,1930
 frɑjt,1
 frɪt,128
 ɪp(nl),10
tɔmp ,242
 nɑw,15
tɪb ,2
zɛɪr,1
ʃnɛ ,1
mu ,128401
jyʊ ,1
 plɑst,114
ltɔt,1
 əʊm(nl),85
ʋɔmp,4
 ɪkss,1
dɑmn,37
preːkt,3457
droːx,1643
 keːlt,19
 fitz ,1
 sɵz ,5
plur ,11
hɪz ,14
 rɛljk ,1
ʋaːjs,107
 bɑnt,2694
 kʌʊn ,343
ɛxtr,1
slɛɪm ,196
ʃɪɲ ,1
dɛrʃ,3
nɛss,317
mɛf,28
tɪr ,1889
pɪtx ,76
 ɣɛlɣr ,1
 veːsh ,2
 stɔx ,223
 rɑnx,10
flɛns,47
ʃti ,2
 rɑx,3953
 ɣɛnx ,65
 døːr ,25
 ɣraːjt,5
spɔt ,104
stɔms,237
 ɑxt ,3
 plis,2
 neːlk ,17
doːf ,236
lɑnsk ,14
 ɣaːpt,6
mklɛ ,1
 kɑm ,593
 lɔnlŋ,16
sxɛŋktʲ ,1
 dɔxt,50
klɔp,11790
mɛɪs,23657
 aːj ,29
kjeː ,34
 slit ,87
 trɔm,35
kleːft,67
 tɑj,4498
 plɪŋ ,2
lun ,22
 fɛnzw ,1
 mɵm ,136
nøːst,69
spɛŋ ,7
lmi ,1
 sxeːh ,12
lɔŋ,2748
kɔpt,10
tɵrnh ,1
bɑkx ,22
bɑh ,11
 drɪxsh ,2
 brɵl ,6
mɑrtʲ ,1
 taːp,66
yr ,40774
krɪn ,10
 leːtʲ ,2
 seːls,2
 krɑjn,5
mip,40
 ɣlɛt ,7
 ɵp ,10
dɪxtz ,25
 jɑst,2
pirs,435
 zil,757
 vlə,6
sɵm ,25
 mɔŋ,19
lsaːn,1
ʋɑlsh ,6
 fɑls,7
 dəx ,2488
ɛl,708635
ɛf ,5004
noːjt ,20
 mɵntʲ ,85
pɛnt ,2
ɣɪtx ,3
 vœyl ,32
ʃɵx ,22
 plip,36
lɔxt,49
ɛwx,1
ɣleː ,234
bɵh,10
 vɪŋ,7679
 kɵst ,2
tɔrn,332
fɔrt ,9
 drɑks,23
 splɛ ,10
 drɔp ,4
 spɑrt,111
 dɛts,3
fli ,178
 slɑw ,1
 smeːt,66
oːtʲ ,2893
jɪd ,1
 doːh ,1
fɪk,1130
 rɔst,28
lɪʃ ,11
mɪŋk ,88
 ʋirp,90
 drɛk,8
 ɑt,17953
rɔtz ,46
stœyp ,52
naːblj ,1
 ʋɔks,16
joːts,427
 bint,1
 tuʃ ,1
 ɵmfs,2
 bɛr,8031
mœytʲ ,1
myrtʲ ,21
 lɛŋ,538
 nɪŋsk ,1
 spaːtz ,1
ʋeːn,1620
 ɣlɪft,1
 bɪndh ,1
 kɪk ,68
nøːkt,1547
peːj,4
 tə,995799
slœyp,538
ɣɔʋ ,33
ɣɑlts,2
 nyʊk ,3
 dœyts,1
snɔʋ ,226
 sɛks,243
kslveː,1
 moːm,1
sɛps,54
 kəms,4
sxɛtz ,17
rɛks,440
spyw ,99
syw ,7
 ɛkt,1
skrɑ ,112
ʋiɾ ,5
tɑjn,1033
ɣlɑtst,1
 sərs,2084
kɵl ,1425
slɪ ,6842
tɑjx ,6
 speːl,2381
 nin ,2
 daːp,4
dzjɛŋ ,2
prɛn ,143
kɔːrts,802
blɑd ,421
ɑjn ,437
 krʌʊt,1
 trɵtʲ ,3
 brɔl,4
 kreːx,55
 dɪːrt,481
fɑŋ ,30
bɵl ,604
ʋɛlx,49
aːnd ,62
hoːx ,3476
 bɵm,382
 sløːf,1
ʃif,326
 ɣəd ,94
krøːts,7
lɵb ,130
flɔn ,3
 tirh ,1
 sprə ,309
bɔlh ,38
 kʌʊts,18
staːf ,55
 ril ,4
oːjt ,22
 tɛns,24
 dɑkk,3
skɵr,169
 kərsk ,4
frɑk ,169
skrɵnts,2
 sɛrl ,1
 zɛɪ ,2266
 bɪxh ,1
lɑpt,603
frɔst,145
 breːktʲ ,1
brɔl,14
ʋɑls ,3
 bɑp,64
lsɛrt,3
 blɑr,11
ɪːrstʲ ,1
 ʋɪr,3548
ʋɵrɣ ,115
 stri,995
 bɔnds ,5
 spərl ,4
 ɣeːfs,231
lʋɔw,1
doːs,2828
 trɪst,2
ʃɛp,197
ɔpwlndlŋ,1
 proː ,6757
mɪ ,98840
 troːst ,23
vins,2
 mɛlf,3
jaːntʲ ,1
sfɛn,153
 zœymt,24
ɑks,14583
 ʋɪː ,3661
pɛn,5546
 stru ,60
heːh ,4
 pat ,12
 smɛlk,11
ɵfk,3
 tɑjns,17
 plɪŋ,82
snɔr,572
 tɛtl ,1
kraːj,186
traːj,111
ʃɪks,15
 ɣɛss,14
 lɔfs,7
ʋɵrxt,330
loːps,63
vultʲ ,4
 snaːl ,2
 prɛntʲ ,2
bɛx ,22
sxmɛɪz ,1
hɔrt,34
 ʋɔlts,17
 skɑlt,35
tʃɪpst,1
 spɑj ,3
ɣreː,12312
strɔl ,1
stroːmt ,1
prɛp ,1
zeːr ,31
 nɛɪntʲ ,273
rhɪ ,2
peːl ,4193
klɪd ,3
 tɛnh ,382
 kɔːrtʲ ,7
lndɪŋ ,1
sxɛɪns,4
 snɪ ,53
 sklɔwns,2
lɔkk,5
 ɛlnk ,2
 luŋ ,1
ʋul,43
flɪnt,285
smʌʊx,17
blɑhk,2
noːj,64281
tɔp ,3423
kɪs,2115
ɑkt,17355
 tɑkt ,433
jɛs ,24
bɔxt,382
 baːrsh ,2
peːr ,2
klʌʊh ,8
mɛlz ,16
strɪpsh ,2
kɪʃ,12
ɛkm,3
 pɛrx ,1
knurt,3
mɣɑm ,3
 rɑrmt,3
hʌʊn ,12
 kɛnlŋ ,3
pʌʊl,2464
 blɪk ,893
aːnt,5941
 ʋɪːrt,807
 ɣraːm,1
 dɪx ,560
 mɪl ,177
ʋɛrklŋ,12
kuk,2180
ɣoːfs,1
hɔf,1278
 krɵm ,1
xkɛn ,1
 zəx ,1190
 mɪŋz ,44
krɪt ,15
 trɛktlj ,1
 flɪn,8
 mɔn,6308
muj ,15784
seːts,1
 spɵrt,7
 sfɑl ,26
sɪp ,11
vɪɲ ,4
ɣrɵnxlk,3
blɵt ,4
paːs ,6
tʋeːf,1
pɛrks,1
 lyt ,1123
 nən,257062
ɵnw,1
frit,443
maːnsx ,10
 voːr ,3
trɪl ,96
ɛrlŋ ,52
kɑl ,3544
 mis,658
 irs,26
laːd ,77
blɵts,5
mɑpk ,1
 stɪm,22
sɑlt,27
ɑnx ,950
vaːntʲ ,15
bɑjrts,1
bɔɲ ,167
 ɣɪsts,1
 klɪʃ,2
 mɵnl ,5
flɛks,109
dlɛp ,3
 ɪːrt,146
 fɪkt,12
 lɛɪtʲ ,3
 slɛsx ,1
 ɛls,356
fœyf,188
ɣlaːs ,424
lʌʊx ,10
zɛst ,1
 dɛkt,3087
 vaːxt,211
lntɛn ,24
 ɣrɑnt ,3
 lɔːrt,5
ʋɛrk ,7622
sxøːtʲ ,29
 daːd ,228
 brɑnt ,41
bɵlk,22
 krɪmpt,2
zʋuls,1
 noːmp ,1
prɪʃ ,1
rɛʃ,75
kɵrts,43
fɑjrx ,18
 skløːn ,2
koːpt,2112
nlvoː,3
fɑl ,335
daːk ,6
 plaːjs,2
kɵt ,637
 dɪkx ,1
 ɣrɛɪph ,1
klaːrh ,6
meːl,573
krdaː,2
drɵp ,32
 staːɲ ,339
krɔn ,13
 leː ,46433
seːlj ,12
bʌʊrx,51
 pɛtl ,1
mklyh ,3
mɵf,53
krɛɪ ,23210
 spɑs,134
lntoː,1
 biʃ,16
knɵd ,4
 trɵxs,2
 tɪː ,23334
 zɛtk ,4
vɵk,33
klɛts,969
zoːm,228
klaːj ,205
 ɣlit,17
rœytʲ ,106
 smɛɪn,44
plɑ ,7046
 lɛpt,11
 ɑj ,68
trit,9
tryks,5
hɵr ,120
 spɵt,36
ɣraːjt,12
vrux,14169
 rɑfk ,1
 tɑd ,31
 kɑmp ,18
fɪrms,5
ɣɵnflx ,1
 vɑjn ,4
zɵr ,19
 mɑrsh ,14
 nih ,32
 sʌʊtʲ ,5
trɛv ,13
 ɣɵnstlɣ ,1
 ɣɛltʲ ,570
 ɣɑm ,5
 sip ,6
 spɛtʲ ,1
lɣloː,1
 sxeːft,41
 tɑlks,3
lsmɛt,15
flɔk ,3
 flɪŋk,3
sprɪŋ ,2924
bʌʊx ,34
xtoː,9
ɛp,425158
bin ,15
splɑʃ,22
stɛr ,15305
prʌʊd ,7
rɛfs,1
tɔŋ,1976
 roːx ,4
bin,59
hɑp ,581
 pərtz ,1
dʋaːsh ,13
 stiːm,389
kvɛm,2
 rɛk,8952
 spis,15
 mɵmh ,2
ɣɑjnz ,10
 dərp ,20
kɪːrtʲ ,502
 smɵl ,1
 stɵnt ,1
 kɔrt,3482
fraːjs,7
 mɛls,135
 tɑlŋ,5
 foːns,533
 sxɪm,52
ɣɛnt,10925
fɑr ,703
 zaːdh ,1
wɣeː ,1
 ʃaːls,499
 bɔrx ,12
 kloːntʲ ,1
 reːpt,2
 skroːn,10
klɪf,699
tɑndh ,173
toːsts,1
kaːlj ,3
 mɔrst,103
stɪːr ,215
 vutʲ ,7
 frɔst,28
 skur ,5
 draːn ,2
sxʌʊ,4245
lsaːks,9
 fur,1
 slaːpt,10
lɵkt,8201
lrɔns,1
plɛɪn,460
 ʋɔrt,445
 trɑŋk,14
 nɔz ,1
lɪpx ,6
 breʊs,81
 flɪts,92
 noːp,132
ɔntbljtn ,1
 trɔw,42
 drɵmt,2
flɪmp ,3
 braːk ,45
 vɪsts,1
vɪkz ,21
 lʌʊt,24
 kœyltʲ ,1
 bʌʊn ,2
streːp ,179
 snɔn,4
ʋhɑ ,29
rhøː ,2
ʋɑjn,109
 bloːt,46
 sfiw,3
lshy ,2
 vil,856
klɵŋ ,101
 dɔnt,41
sxuntʲ ,66
 blɑn,107
 ʋɑls,48
 sɪːr ,373
 ʋɪk,349
mɛrln,1
trɪːr,23
bzoː ,1
 brɑk,412
spiɾ ,6
jɑmsh ,3
krɛsk,10
 broːdz ,6
knɔʋh ,10
pɛks,49
jɔɲ ,13
 ʃɛs ,31
ʋɔnlŋ,4
fɔrsh ,1
kɵth ,3
oːstk ,1
 pih ,4
 tɑŋk,332
 ʋɪtʲ ,186
 sxɛrmh ,88
 jɑr ,431
 tɔl,239
 tɑjt,1
ɑkx,74
 strɪpt,13
 rɔn,7919
 laːp,4
 lɵxt,476
staːtsx ,115
sxru ,215
 klʌʊs,1
 brɑjn,28
 rɛʃ ,2
 strɛxt,2
 pɑjt,9
brɑnt,5047
ɣlɑj ,1
 kləh ,7
pɑrx ,8
ʋɔrlts,12
 smɔp,1
ɵt,15496
 lɛnf,1
 rɪm ,111
hɛrs,216
jɑr ,609
 mɛrt,578
ɔrt,78404
rhɪl,5
 dɛlzw ,3
heːft,159947
staːtsljk ,1
pɔŋk,1
kaːj,2066
 frɵt ,4
 joːxst,1
snɪf,1
 dɪnx ,253
 raːj,240
spaːms,1
nɔh ,1
rɵst,7467
ʋɑnts,10
 jɑrh ,1
lsy,5
kkly,1
ʒɑ̃ ,73
ɣrupzd ,3
ʃɑws,21
rɪp ,1357
 lɛlnd ,1
hɑndl ,1
vɪlt,114
ɣɪnt,5793
ɣir,1338
 slɛt,33
 troːns,1
dnmɪ ,1
 laːt,8415
mɛɪ ,10304
 ɣraːf,1530
 ʋɑnt,332
plɛɪt ,56
 trʌʊm,1
ɣri,4221
mɑw,9
hɑʃ,227
tʃuk,2
eːtw ,3
 ɑsts,2
 zɑn,2345
rlœys ,1
drɛŋk,105
braːm ,15
hɵlk,85
vrʌʊs,41
tɵr ,1718
tɪst ,11
ɔl ,63245
 fəm,1
raːh ,638
 sləks,1
fɵm ,21
 snaːjt,3
kɑjrn,14
 pɑl ,67
vɔxsph ,4
krɵŋk,1
psih ,1
 dɵrft,86
 dɔmd ,3
 moːt,1664
sɔph ,852
 jɛk ,1647
 ʃɵk,1
 mɛlt,1483
ʃɵrxs,1
pflɑx,1
 kilh ,5
stɛn,2606
prɔml ,1
eːnd ,5
 kaːsk,2
peːl,13715
spɔns ,13
 jʌʊ,610
 fɛrtʲ ,446
klɛt ,969
dɵs,62048
xʌʊ,4248
 ɑɾr,4
beːf ,2
knɑlt,98
ɪn ,214096
ɪl,329565
 zɪɣŋ ,1
lsɔ ,6
 rɛrx,36
 bils,6
ɣɛɪtʲ ,18
dŋɛt ,1
 kløːm ,1
 ʃøːr ,3
 drɪk ,19
 toːst ,5
 krin,2
bɑkh ,28
 seːht ,2
skɔtz ,33
 spɔl,5
mʋaː ,2
lrvɪn,8
 ʋə ,678
 nɑns,31
køːr ,155
 ʃɪː ,503
lɔnt,1161
nɑx,20443
trɪmsh ,1
 kœyf ,1
frɪː ,19
nɵz ,15
 skri ,220
knuj ,69
 plɛvlŋ,1
tɪk ,538
 strɑnx,1
 øːxt,258
ʃʌʊrt,2
froː ,339
 baːtʲ ,1
 frɪts,6
pup ,116
brukz ,2
 flɑts,21
 ɑhŋ ,1
 zuks,131
 ʋɑps,1
 sɛmlŋ,1
 sxɔʋ ,2
mɑrk,3949
ɛrn ,2902
 ɣɑl,6275
 naːrtʲ ,33
kvih ,1
hɑrp,88
 ʃoː ,8279
skrɵnx ,1
 krup,15
 slaːr ,6
sknɛ ,1
vlɑs,8
bɛtt ,5
stroːkt,14
 tɛɪts ,54
œys ,3036
pɛɪn,14653
tbi,2
stɑrh ,1
bɪks ,17
sɪrs,5
kihls,1
maːl,71770
 poːn,8
 blyt ,1
 zɵf,19
 zun,1623
jɑkk ,324
kɑhns,4
tøːrs,1307
 nɪm ,14
mɑxts,31
plɛɪn ,11
ɣloːp,212
 nɪːr ,731
 lɑrms,3
rɵɣ ,899
tɔt ,24
 rɛɪdh ,1
 dɑdlx,5
 ʃɛt,54
 lɪnk ,78
 mɛŋ ,260
 drə,1676
 jə,145604
 skʌʊx,31
 eːn ,961
sʋoː ,2
 fɪlmp ,35
fɪk ,525
ʋɑrt,7103
 sʌʊf,5
frøːnt ,1
skɔːr ,101
pœylt,12
 ʃɪr,133
jɛs,896
saːp ,4
 ɔns,322
loːnx ,15
 ʋaːkh ,2
veːd ,1
 krœys ,7
trɑl,75
 skrɪd ,1
sɪnz ,1
 bɪɣ ,4
zikt ,1
 skɔrps,29
ɣrɛt,355
 smə ,110
 ʃɑm,5
slɵrf ,2
sxtɵm,5
seːh ,234
 jɑn ,416
mklʌʊ ,45
rɑpsh ,1
 ʋœyft,5
 krim,17
snɪkt,4
jloː,2
raːjs,38
nɪŋ,34025
 rɛlrl ,1
ɪpf,8
mkkɵtx ,2
bɑrs,749
 trɵŋ ,1
tɑʃ,67
bɔwlt,14
 kaːrt ,13
 stirt,9
bɔrnh ,4
fɛltʲ ,142
 ɣœyx,2
 niw,6038
 bɑh,71
 vaːr ,8160
flɪtz ,2
mʌʊx ,10
 tʌʊn,5
sɛph ,52
ɑmf,8
 naːnh ,3
 nɛf,33
 klɑm,349
rɑl,13070
blɔŋ ,8
 sklœys,15
txɛkh ,2
kɑk ,310
 kɛt,4397
sxɔkh ,1
vərdwlj ,1
ɵʃ ,200
